generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
11,336,1,3294.99,90.06,498.67,50.68,637.34,6,6,0.799,0.087,0.056,0.49,0.3147,0.726461,199.85,5.38608,28.97,169.85
11,392,1,2520.07,90.06,437.915,82.77,335.83,9,4,0.851,0,0.128,0.235,0.3303,0.5,207.65,5.065,30.53,177.65
11,246,0,2241.02,82.48,347.375,160.12,454.75,4,5,0.725,0.157,0.066,0.385,0.2925,0.943525,188.75,5.74995,26.75,158.75
11,393,1,2212.93,90.06,424.55,141.914,309.1,9,2,0.77,0.175,0.158,0.385,0.306,0.97075,195.5,6.4505,28.1,165.5
11,230,1,2203.26,90.06,495.2,102.2,210.4,13,2,0.71,0.024,0.144,0.385,0.288,0.56888,186.5,4.90424,26.3,156.5
11,12,1,2178.45,90.06,341.5,142.182,263,7,4,0.71,0.024,0.066,0.385,0.288,0.56888,186.5,4.59224,26.3,156.5
11,326,1,2118.65,90.06,375.08,23.87,270.16,8,2,0.652,0,0.056,0.418,0.2706,0.5,177.8,4.18,24.56,147.8
11,118,1,1866.84,90.06,311.12,33.921,202.24,7,2,0.676,0.015,0.056,0.538,0.2778,0.54458,181.4,4.37284,25.28,151.4
11,187,1,1847.14,90.06,400.765,123.749,201.53,10,1,0.793,0.107,0.077,0.526,0.3129,0.780447,198.95,5.62411,28.79,168.95
11,335,1,1798.84,90.06,373.76,131.949,207.52,9,1,0.698,0.073,0.082,0.418,0.2844,0.712138,184.7,5.01972,25.94,154.7
11,243,1,1721.08,90.06,390.65,57.58,121.3,11,1,0.642,0.066,0.066,0.175,0.2676,0.702884,176.3,4.70823,24.26,146.3
11,301,0,1690.67,77.14,333.3,153.146,306.6,6,2,0.685,0.145,0.051,0.289,0.2805,0.927025,182.75,5.43495,25.55,152.75
11,261,0,1634.21,35.3,226.775,157.17,393.55,1,3,0.605,0.068,0.057,0.763,0.2565,0.71658,170.75,4.56184,23.15,140.75
11,364,0,1629.81,87.64,400.62,133.871,261.24,9,1,0.559,0.068,0.14,0.763,0.2427,0.725964,163.85,4.73707,21.77,133.85
11,211,0,1599.24,81.38,353.895,167.18,227.79,8,2,0.677,0.112,0.069,0.226,0.2781,0.832528,181.55,5.20994,25.31,151.55
11,283,1,1566.44,90.06,283.395,22.462,146.79,7,1,0.377,0,0.083,0.418,0.1881,0.5,136.55,3.463,16.31,106.55
11,299,1,1500.06,90.06,436.55,77.48,33.1,14,0,0.385,0.107,0.055,0.269,0.1905,0.911415,137.75,4.05017,16.55,107.75
11,203,0,1497.56,39.64,209.4,168.17,418.8,0,2,0.764,0.231,0.148,0.269,0.3042,1.12555,194.6,6.8669,27.92,164.6
11,155,0,1494.98,63.56,259.575,147.12,219.15,5,3,0.645,0.246,0.069,0.418,0.2685,1.25399,176.75,6.14702,24.35,146.75
11,65,0,1494.35,60.2399,234.4,139.764,228.8,4,4,0.596,0.211,0.175,0.392,0.2538,1.17773,169.4,6.08654,22.88,139.4
11,257,1,1447.51,90.06,420,0,0,14,0,0.596,0.051,0.057,0.254,0.2538,0.663812,169.4,4.40238,22.88,139.4
11,41,0,1437.89,57.7399,187.25,159.917,374.5,0,2,0.725,0.233,0.163,0.727,0.2925,1.15822,188.75,6.77255,26.75,158.75
11,314,0,1421.59,82.98,349.88,163.284,219.76,8,1,0.749,0.086,0.173,0.266,0.2997,0.736758,192.35,5.66948,27.47,162.35
11,108,0,1418.93,66.56,166.74,139.023,273.48,1,3,0.593,0.053,0.066,0.317,0.2529,0.670713,168.95,4.44357,22.79,138.95
11,218,0,1395.09,68.32,201.68,165.276,223.36,3,3,0.764,0.107,0.055,0.676,0.3042,0.789756,194.6,5.43049,27.92,164.6
11,311,0,1372.8,76.98,361.52,164.742,183.04,9,1,0.596,0.175,0.066,0.418,0.2538,1.0621,169.4,5.3778,22.88,139.4
11,4,0,1345.68,59.3999,274.56,163.61,309.12,4,1,0.692,0.085,0.23,0.364,0.2826,0.74854,183.8,5.68892,25.76,153.8
11,236,0,1340,77.4,255.595,176.205,211.19,5,2,0.839,0.027,0.203,0.269,0.3267,0.567041,205.85,5.57292,30.17,175.85
11,292,1,1328.65,90.06,275.31,116.132,130.62,7,0,0.559,0.051,0.057,0.529,0.2427,0.669473,163.85,4.28005,21.77,133.85
11,298,0,1314.5,85.06,372.2,153.77,204.4,9,0,0.685,0.169,0.066,0.613,0.2805,0.997705,182.75,5.68959,25.55,152.75
11,119,1,1295.63,90.06,360,79.1517,0,12,0,0.692,0.126,0,0.523,0.2826,0.868424,183.8,5.10315,25.76,153.8
11,72,0,1287.58,55.56,161.7,133.283,323.4,0,2,0.552,0.024,0.355,0.307,0.2406,0.580256,162.8,5.25149,21.56,132.8
11,277,0,1282.84,53.06,207.97,172.116,355.94,1,1,0.746,0.111,0.071,0.394,0.2988,0.806582,191.9,5.46284,27.38,161.9
11,167,0,1268.33,64.9,187.75,152.959,255.5,2,2,0.685,0.145,0.051,0.289,0.2805,0.927025,182.75,5.43495,25.55,152.75
11,113,0,1267.16,52.98,196.45,166.52,272.9,2,2,0.743,0.149,0.069,0.266,0.2979,0.912879,191.45,5.76524,27.29,161.45
11,93,1,1260.66,90.06,298.965,92.5796,57.93,9,0,0.477,0.015,0.056,0.526,0.2181,0.553535,151.55,3.75793,19.31,121.55
11,321,1,1255.54,90.06,300.495,105.881,60.99,9,0,0.511,0.053,0.107,0.496,0.2283,0.683751,156.65,4.3355,20.33,126.65
11,2,0,1250.12,85.88,257,159.63,214,5,1,0.725,0.024,0.071,0.382,0.2925,0.5678,188.75,4.6594,26.75,158.75
11,320,1,1248.46,90.06,330,53.5,0,11,0,0.857,0,0,0.532,0.3321,0.5,208.55,4.571,30.71,178.55
11,390,0,1227.29,66.98,246.25,152.093,252.5,4,1,0.675,0.186,0.154,0.409,0.2775,1.05335,181.25,6.1383,25.25,151.25
11,38,1,1224.21,90.06,330,87.1312,0,11,0,0.348,0.114,0.055,0.538,0.1794,0.950984,132.2,3.95803,15.44,102.2
11,232,0,1221.12,55.56,138.36,145.48,216.72,1,3,0.636,0.2,0.079,0.176,0.2658,1.1184,175.4,5.7872,24.08,145.4
11,337,0,1208.51,31.04,153.4,171.05,246.8,1,3,0.656,0.107,0.071,0.389,0.2718,0.824424,178.4,5.10115,24.68,148.4
11,343,0,1196.1,80.8,322.8,117.47,105.6,9,1,0.42,0.167,0.069,0.269,0.201,1.12458,143,4.62484,17.6,113
11,345,1,1190.84,90.06,330,149.549,0,11,0,0.797,0.114,0.071,0.207,0.3141,0.797426,199.55,5.67615,28.91,169.55
11,112,0,1163.21,48.74,181.185,160.737,242.37,2,2,0.731,0.246,0.185,0.373,0.2943,1.19052,189.65,6.99596,26.93,159.65
11,98,0,1162.48,57.48,171.55,197.031,343.1,0,1,0.977,0.129,0.391,0.451,0.3681,0.766901,226.55,7.7672,34.31,196.55
11,375,0,1161.57,44.3999,208.08,149.22,296.16,2,1,0.656,0.065,0.055,0.269,0.2718,0.69708,178.4,4.70384,24.68,148.4
11,138,0,1159.27,53.56,193.905,148.248,207.81,3,2,0.603,0.216,0.069,0.167,0.2559,1.18926,170.45,5.73049,23.09,140.45
11,31,1,1157.06,90.06,300,97.121,0,10,0,0.364,0.111,0.071,0.382,0.1842,0.933788,134.6,4.06242,15.92,104.6
11,21,0,1124.13,31.68,183.4,165.77,246.8,2,2,0.656,0.051,0.054,0.269,0.2718,0.654632,178.4,4.58874,24.68,148.4
11,350,0,1111,62.06,289.25,184.336,158.5,7,1,0.89,0.182,0.214,0.269,0.342,0.92406,213.5,7.22588,31.7,183.5
11,29,0,1104.3,70.8,237.44,134.818,174.88,5,1,0.562,0.112,0.066,0.289,0.2436,0.871168,164.3,4.77566,21.86,134.3
11,199,0,1103.13,66.22,230.525,152.915,281.05,3,0,0.685,0.186,0.051,0.272,0.2805,1.04777,182.75,5.76746,25.55,152.75
11,85,0,1100.19,44.94,188.72,150,197.44,3,2,0.656,0.082,0.075,0.388,0.2718,0.748624,178.4,4.91875,24.68,148.4
11,281,0,1040.86,62.48,208,184.08,116,5,2,0.8,0.137,0.051,0.112,0.315,0.8562,200,5.8096,29,170
11,344,0,1039.04,84.3,284.04,149.006,148.08,7,0,0.656,0.107,0.069,0.676,0.2718,0.824424,178.4,5.09315,24.68,148.4
11,244,0,1038.49,44.3999,123.4,150.324,246.8,0,2,0.656,0.218,0.307,0.269,0.2718,1.16098,178.4,6.92605,24.68,148.4
11,47,0,1024.53,48.82,179.735,141.57,239.47,2,1,0.559,0.053,0.056,0.496,0.2427,0.676119,163.85,4.29076,21.77,133.85
11,0,0,1020.42,56.58,173.95,139.333,227.9,2,1,0.593,0.231,0.055,0.269,0.2529,1.24405,168.95,5.7449,22.79,138.95
11,8,0,969.416,68.22,176.24,133.227,172.48,3,1,0.552,0.068,0.069,0.418,0.2406,0.727392,162.8,4.42922,21.56,132.8
11,48,0,968.081,79.8,247.875,152.25,75.75,7,1,0.675,0.111,0.112,0.269,0.2775,0.830225,181.25,5.36655,25.25,151.25
11,32,0,958.105,49.8199,101.35,126.903,202.7,0,2,0.509,0.02,0.137,0.553,0.2277,0.56946,156.35,4.21608,20.27,126.35
11,185,0,948.289,63.06,290,131.789,40,9,1,0.5,0.327,0.069,0.167,0.225,1.6445,155,6.065,20,125
11,107,0,925.959,54.9,178.48,151.992,176.96,3,1,0.676,0.307,0.083,0.526,0.2778,1.4124,181.4,6.83319,25.28,151.4
11,227,0,904.306,53.9799,146.975,147.067,113.95,3,2,0.593,0.137,0.055,0.269,0.2529,0.941277,168.95,5.03445,22.79,138.95
11,82,0,900.085,53.64,195.12,158.135,150.24,4,1,0.668,0.194,0.146,0.454,0.2754,1.08122,180.2,6.14155,25.04,150.2
11,101,0,894.434,50.98,168.7,156.927,97.4,4,2,0.645,0.194,0.175,0.293,0.2685,1.09461,176.75,6.16178,24.35,146.75
11,310,0,892.607,88.48,330,141.669,0,11,0,0.607,0.053,0.047,0.496,0.2571,0.668487,171.05,4.41403,23.21,141.05
11,339,0,879.318,33.72,125.84,156.08,251.68,0,1,0.596,0,0.055,0.418,0.2538,0.5,169.4,4.008,22.88,139.4
11,157,0,865.287,61.64,183.725,152.848,127.45,4,1,0.683,0.177,0.157,0.364,0.2799,1.02233,182.45,6.11035,25.49,152.45
11,395,0,849.276,51.82,128.72,148.81,197.44,1,1,0.656,0.186,0.137,0.418,0.2718,1.06395,178.4,5.9921,24.68,148.4
11,43,0,847.509,49.06,113.5,139.356,227,0,1,0.59,0.183,0.391,0.313,0.252,1.09109,168.5,6.71382,22.7,138.5
11,196,0,841.184,53.4,209,141.3,178,4,0,0.575,0.068,0.057,0.523,0.2475,0.7227,166.25,4.4596,22.25,136.25
11,183,0,836.717,48.06,170.25,182.235,160.5,3,1,0.725,0.233,0.163,0.643,0.2925,1.15822,188.75,6.77255,26.75,158.75
11,255,0,836.025,34.52,110.185,164.48,160.37,1,2,0.597,0.09,0.069,0.112,0.2541,0.78881,169.55,4.74938,22.91,139.55
11,262,0,828.982,16.58,97.13,123.74,194.26,0,2,0.422,0.015,0.056,0.604,0.2016,0.55601,143.3,3.58798,17.66,113.3
11,356,0,815.87,39.84,108.85,134.69,217.7,0,1,0.559,0.339,0.082,0.757,0.2427,1.6265,163.85,6.49801,21.77,133.85
11,348,0,809.211,77.4,221.905,144.642,23.81,7,1,0.627,0.037,0.214,0.395,0.2631,0.615403,174.05,5.02419,23.81,144.05
11,379,0,794.45,34.38,139.37,176.27,278.74,0,0,0.678,0.177,0.083,0.283,0.2784,1.02498,181.7,5.79404,25.34,151.7
11,383,0,792.124,32.3,127.965,134.04,195.93,1,1,0.559,0,0.056,0.496,0.2427,0.5,163.85,3.901,21.77,133.85
11,186,0,781.888,62.72,117.84,130.967,55.68,3,2,0.452,0.09,0.056,0.394,0.2106,0.82796,147.8,4.18408,18.56,117.8
11,388,0,778.572,58.9,157.4,147.297,194.8,2,0,0.645,0.194,0.109,0.286,0.2685,1.09461,176.75,5.89778,24.35,146.75
11,329,0,776.079,58.9799,147.2,139.816,114.4,3,1,0.596,0.045,0.057,0.317,0.2538,0.64454,169.4,4.35692,22.88,139.4
11,83,0,775.119,43.74,140.79,160.093,161.58,2,1,0.731,0.486,0.187,0.484,0.2943,1.8642,189.65,9.0166,26.93,159.65
11,222,0,752.463,46.24,153.35,164.09,126.7,3,1,0.678,0.177,0.083,0.204,0.2784,1.02498,181.7,5.79404,25.34,151.7
11,195,0,751.211,12.86,116.865,170.45,233.73,0,1,0.699,0.026,0.069,0.655,0.2847,0.575478,184.85,4.58604,25.97,154.85
11,1,0,749.288,63.64,166.195,134.167,152.39,3,0,0.559,0.068,0.057,0.763,0.2427,0.725964,163.85,4.40507,21.77,133.85
11,125,0,748.85,34,109.65,120.84,99.3,2,2,0.385,0.026,0.055,0.359,0.1905,0.59997,137.75,3.53906,16.55,107.75
11,28,0,748.179,47.48,150.35,152.588,120.7,3,1,0.638,0.271,0.051,0.167,0.2664,1.33631,175.7,6.23939,24.14,145.7
11,61,0,746.664,79.56,270,124.02,0,9,0,0.489,0.187,0.082,0,0.2217,1.16067,153.35,5.09166,19.67,123.35
11,6,0,731.648,32.76,156.745,141.84,133.49,3,1,0.469,0.318,0.187,0.748,0.2157,1.64257,150.35,6.32185,19.07,120.35
11,239,0,730.77,53.32,105.75,151.833,151.5,1,1,0.675,0.111,0.082,0.269,0.2775,0.830225,181.25,5.24655,25.25,151.25
11,156,0,728.774,32.5999,116.24,132.837,172.48,1,1,0.552,0.375,0.066,0.385,0.2406,1.754,162.8,6.662,21.56,132.8
11,275,0,727.254,63.48,160.4,113.398,140.8,3,0,0.42,0.107,0.057,0.269,0.201,0.90018,143,4.18564,17.6,113
11,229,0,723.94,79.8,207.57,117.47,55.14,6,0,0.446,0.037,0.069,0.655,0.2088,0.635494,146.9,3.86101,18.38,116.9
11,46,0,721.315,68.9,219.45,157.448,78.9,6,0,0.71,0.024,0.175,0.214,0.288,0.56888,186.5,5.02824,26.3,156.5
11,181,0,720.612,40.64,109.76,133.91,159.52,1,1,0.498,0.194,0.055,0.385,0.2244,1.18016,154.7,5.06967,19.94,124.7
11,206,0,719.977,14.02,109.575,156.15,219.15,0,1,0.645,0.068,0.175,0.763,0.2685,0.70842,176.75,5.17016,24.35,146.75
11,67,0,715.367,30.4,97.02,144.27,194.04,0,1,0.552,0.137,0.055,0.496,0.2406,0.958128,162.8,4.87774,21.56,132.8
11,201,0,712.839,22.48,121.215,146.55,182.43,1,1,0.509,0.011,0.126,0.382,0.2277,0.538203,156.35,4.10859,20.27,126.35
11,334,0,709.216,38.5,169.36,152.43,98.72,4,1,0.656,0.186,0.187,0.207,0.2718,1.06395,178.4,6.1921,24.68,148.4
11,398,0,705.508,50.06,102.42,147.913,144.84,1,1,0.638,0.037,0.054,0.203,0.2664,0.614182,175.7,4.41964,24.14,145.7
11,382,0,699.714,57.82,166.775,178.962,153.55,3,0,0.857,0.129,0.178,0.463,0.3321,0.813341,208.55,6.46232,30.71,178.55
11,304,0,689.613,56.08,113.75,133.481,107.5,2,1,0.55,0.137,0.066,0.186,0.24,0.95895,162.5,4.9141,21.5,132.5
11,355,0,680.078,58.56,92.825,150.826,125.65,1,1,0.671,0,0.057,0.234,0.2763,0.5,180.65,4.241,25.13,150.65
11,295,0,678.925,41.22,94.59,140.916,69.18,2,2,0.602,0.112,0.083,0.112,0.2556,0.857728,170.3,4.99054,23.06,140.3
11,391,0,675.242,55.32,158.64,140.014,137.28,3,0,0.596,0.307,0.071,0.412,0.2538,1.48608,169.4,6.39783,22.88,139.4
11,95,0,673.148,76.22,240,134.439,0,8,0,0.559,0.107,0.056,0.209,0.2427,0.855561,163.85,4.68788,21.77,133.85
11,323,0,672.396,17.96,115.76,141.27,171.52,1,1,0.548,0.049,0.056,0.406,0.2394,0.664444,162.2,4.22511,21.44,132.2
11,282,0,667.432,15.9,135.04,134.1,150.08,2,1,0.548,0.269,0.163,0.643,0.2394,1.40276,162.2,6.25647,21.44,132.2
11,204,0,664.323,50.82,101.35,126.851,202.7,0,0,0.509,0.026,0.099,0.267,0.2277,0.590298,156.35,4.1064,20.27,126.35
11,381,0,656.761,51.24,95.525,156.573,131.05,1,1,0.707,0.041,0.191,0.204,0.2871,0.618039,186.05,5.22292,26.21,156.05
11,317,0,655.759,59.74,153.2,151.646,126.4,3,0,0.676,0.15,0.057,0.559,0.2778,0.9458,181.4,5.4644,25.28,151.4
11,373,0,655.409,59.14,226.67,108.613,33.34,7,0,0.389,0.403,0.101,0.282,0.1917,2.0447,138.35,6.1236,16.67,108.35
11,23,0,638.617,66.4799,218.755,113.063,17.51,7,0,0.417,0.186,0.057,0.496,0.2001,1.19731,142.55,4.68837,17.51,112.55
11,324,0,629.532,15.9,93.31,170.87,186.62,0,1,0.722,0.233,0.163,0.167,0.2916,1.16032,188.3,6.75936,26.66,158.3
11,54,0,626.516,31.36,146.24,150.33,172.48,2,0,0.552,0.14,0.051,0.269,0.2406,0.96816,162.8,4.88368,21.56,132.8
11,166,0,622.92,26.02,111.06,151.56,222.12,0,0,0.656,0.078,0.082,0.167,0.2718,0.736496,178.4,4.91501,24.68,148.4
11,242,0,617.899,28.92,146.24,147.56,172.48,2,0,0.552,0.026,0.089,0.204,0.2406,0.586944,162.8,4.20211,21.56,132.8
