generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
16,0,1,4258.98,90.0601,687.5,109.32,1015,6,6,1,0.219,0.391,0.769,0.375,0.938,230,8.754,35,200
16,57,1,3987.39,90.0601,635,175,910,6,7,1,0.129,0.391,0.685,0.375,0.758,230,7.854,35,200
16,310,0,3897.85,59.48,625,210,1190,1,4,1,0.372,0.424,0.877,0.375,1.244,230,10.416,35,200
16,211,1,3834.89,90.0601,660,35,840,8,4,1,0.06,0.391,0.847,0.375,0.62,230,7.164,35,200
16,295,0,3467.25,76.4801,490,200.24,980,0,7,1,0.243,0.395,0.613,0.375,0.986,230,9.01,35,200
16,205,0,3230.42,79.98,455,200.12,910,0,6,1,0.132,0.433,0.769,0.375,0.764,230,8.052,35,200
16,285,0,3084.59,48.34,472.5,210,945,0,3,1,0.129,0.391,0.781,0.375,0.758,230,7.854,35,200
16,346,0,2956.97,84.98,420,201.239,840,0,4,1,0.053,0.391,0.808,0.375,0.606,230,7.094,35,200
16,144,0,2931.5,58.2401,420,210,840,0,5,1,0.219,0.313,0.769,0.375,0.938,230,8.442,35,200
16,244,1,2916.3,90.0601,497.325,69.76,514.65,8,3,0.977,0.024,0.069,0.859,0.3681,0.549656,226.55,5.44369,34.31,196.55
16,71,0,2915.68,71.2401,420,200.56,840,0,4,1,0.18,0.406,0.476,0.375,0.86,230,8.424,35,200
16,359,1,2750.61,90.0601,741.55,177.074,343.1,19,1,0.977,0.228,0.071,0.393,0.3681,0.971732,226.55,7.46354,34.31,196.55
16,160,0,2691.31,45.5,402.5,210,805,0,3,1,0.159,0.391,0.46,0.375,0.818,230,8.154,35,200
16,87,1,2514.93,90.0601,531.55,99.78,343.1,12,2,0.977,0.117,0.103,0.859,0.3681,0.742073,226.55,6.49685,34.31,196.55
16,104,0,2486.92,43.08,367.5,210,735,0,3,1,0.107,0.466,0.481,0.375,0.714,230,7.934,35,200
16,394,1,2459.92,90.0601,657.5,139.31,175,19,2,1,0.249,0.051,0.472,0.375,0.998,230,7.694,35,200
16,93,0,2445.98,71.32,362.5,201.119,665,1,3,1,0.054,0.391,0.676,0.375,0.608,230,7.104,35,200
16,155,0,2431.48,59.66,350,234.68,700,0,3,1,0.219,0.391,0.847,0.375,0.938,230,8.754,35,200
16,203,1,2391.01,90.0601,530,133.82,280,13,2,1,0.081,0.054,0.673,0.375,0.662,230,6.026,35,200
16,135,0,2320.18,50.26,332.5,210,665,0,3,1,0.066,0.391,0.41,0.375,0.632,230,7.224,35,200
16,90,0,2305.74,64.98,347.6,199.54,695.2,0,2,0.992,0.271,0.346,0.43,0.3726,1.0485,228.8,9.05699,34.76,198.8
16,296,1,2256.94,90.0601,566.9,173.8,173.8,16,2,0.992,0.186,0.069,0.895,0.3726,0.876464,228.8,7.10307,34.76,198.8
16,208,0,2208.47,87.72,405.94,199.54,451.88,6,3,0.992,0.09,0.391,0.409,0.3726,0.68216,228.8,7.43568,34.76,198.8
16,397,0,2194.24,66.4801,332.5,200.762,665,0,2,1,0.024,0.67,0.676,0.375,0.548,230,7.92,35,200
16,59,0,2180.29,56.32,393.32,200.04,486.64,5,3,0.992,0.024,0.06,0.991,0.3726,0.548576,228.8,5.45485,34.76,198.8
16,248,0,2123.38,61.2401,280,200.56,560,0,4,1,0.024,0.334,0.994,0.375,0.548,230,6.576,35,200
16,280,0,2116.66,68.32,304.48,196.676,548.96,1,3,0.977,0.18,0.427,0.562,0.3681,0.87242,226.55,8.41416,34.31,196.55
16,197,0,2030.34,43.7401,382.5,205.65,525,4,2,1,0.024,0.056,0.754,0.375,0.548,230,5.464,35,200
16,284,0,2017.34,66.66,297.5,232.641,595,0,2,1,0,0.359,0.892,0.375,0.5,230,6.436,35,200
16,232,0,2014.24,42.9001,280,210,560,0,3,1,0.078,0.325,0.538,0.375,0.656,230,7.08,35,200
16,309,0,1935.19,71.14,373.015,197.326,446.03,5,2,0.977,0.123,0.391,0.487,0.3681,0.754487,226.55,7.70803,34.31,196.55
16,179,1,1897.13,90.0601,660,68.8587,0,22,0,0.893,0.219,0.027,0.706,0.3429,1.0083,213.95,6.8364,31.79,183.95
16,324,1,1827.84,90.0601,660,174.76,0,22,0,1,0.111,0.148,0.349,0.375,0.722,230,6.702,35,200
16,21,0,1795.5,40.9801,349.35,202.44,518.7,3,1,0.986,0.105,0.051,0.46,0.3708,0.71441,227.9,6.20318,34.58,197.9
16,331,0,1777.24,43.4001,254.185,226.64,448.37,1,3,0.983,0,0.067,0.616,0.3699,0.5,227.45,5.217,34.49,197.45
16,214,1,1775.57,90.0601,423.76,100.38,127.52,12,1,0.896,0.024,0.075,0.859,0.3438,0.555488,214.4,5.21302,31.88,184.4
16,385,0,1772.21,57.4001,227.5,204.081,455,0,3,1,0.078,0.324,0.814,0.375,0.656,230,7.076,35,200
16,103,0,1749.86,38.9801,262.5,210,525,0,2,1,0.114,0.433,0.496,0.375,0.728,230,7.872,35,200
16,199,0,1655.92,41.4801,305,206.55,490,2,1,1,0,0.056,0.589,0.375,0.5,230,5.224,35,200
16,23,0,1654.7,36.4601,274.48,207.24,548.96,0,1,0.977,0.129,0.529,0.847,0.3681,0.766901,226.55,8.3192,34.31,196.55
16,219,0,1653.97,40.9801,245,210,490,0,2,1,0.105,0.52,0.283,0.375,0.71,230,8.13,35,200
16,281,1,1629.19,90.0601,497.155,65.35,34.31,16,0,0.977,0.059,0.057,0.808,0.3681,0.622071,226.55,5.74086,34.31,196.55
16,258,0,1611.56,29.14,305,210,490,2,1,1,0.098,0.067,0.847,0.375,0.696,230,6.248,35,200
16,297,1,1565.14,90.0601,510,127.979,0,17,0,0.985,0.054,0.045,0.565,0.3705,0.61043,227.75,5.67014,34.55,197.75
16,112,1,1549.17,90.0601,467.29,103.62,34.58,15,0,0.986,0.105,0.069,0.445,0.3708,0.71441,227.9,6.27518,34.58,197.9
16,88,0,1531.86,49.7,307.5,208.62,315,5,2,1,0.081,0.054,0.538,0.375,0.662,230,6.026,35,200
16,76,0,1525.97,21.62,275,207.21,490,1,1,1,0.107,0.111,0.967,0.375,0.714,230,6.514,35,200
16,327,0,1510.47,48.34,307.5,228.47,315,5,2,1,0.132,0.148,0.445,0.375,0.764,230,6.912,35,200
16,118,0,1488.66,42.22,228.6,195.6,277.2,3,4,0.86,0.168,0.057,0.772,0.333,0.90656,209,6.34688,30.8,179
16,264,1,1484.6,90.0601,480,139.886,0,16,0,0.977,0.171,0.153,0.613,0.3681,0.853799,226.55,7.2294,34.31,196.55
16,162,1,1472.14,90.0601,421.94,177.218,63.88,13,0,0.898,0.093,0.075,0.73,0.3444,0.714458,214.7,5.86708,31.94,184.7
16,293,0,1456.78,59.4,184.395,207.93,308.79,1,3,0.977,0,0.071,0.847,0.3681,0.5,226.55,5.215,34.31,196.55
16,360,1,1433.92,90.0601,394.58,151.355,69.16,12,0,0.986,0,0.117,0.472,0.3708,0.5,227.9,5.426,34.58,197.9
16,229,0,1426.47,51.06,223.015,197.754,446.03,0,1,0.977,0.18,0.391,0.445,0.3681,0.87242,226.55,8.27016,34.31,196.55
16,145,1,1384.61,90.0601,390,4.9993,0,13,0,0.911,0.024,0.06,0.778,0.3483,0.554408,216.65,5.20018,32.33,186.65
16,353,1,1354.85,90.0601,420,188.824,0,14,0,0.968,0.111,0.044,0.445,0.3654,0.732656,225.2,6.16869,34.04,195.2
16,372,1,1312.86,90.0601,390,139.31,0,13,0,0.995,0,0.094,0.613,0.3735,0.5,229.25,5.361,34.85,199.25
16,274,1,1306.86,90.0601,360,39.6838,0,12,0,0.706,0,0.063,0.712,0.2868,0.5,185.9,4.37,26.18,155.9
16,9,0,1305.03,54.16,332.5,208.62,245,7,1,1,0.219,0.295,0.709,0.375,0.938,230,8.37,35,200
16,185,0,1297.81,49.7,173.35,199.038,346.7,0,2,0.989,0.147,0.403,0.538,0.3717,0.798851,228.35,8.0393,34.67,198.35
16,399,1,1295.78,90.0601,390,198.325,0,13,0,0.989,0.147,0.002,0.472,0.3717,0.798851,228.35,6.4353,34.67,198.35
16,69,1,1289.66,90.0601,390,191.927,0,13,0,0.965,0.15,0.071,0.418,0.3645,0.81575,224.75,6.6475,33.95,194.75
16,369,0,1260.79,40.0601,172,203.366,344,0,2,0.98,0.141,0.395,0.613,0.369,0.79046,227,7.91308,34.4,197
16,120,0,1248.95,40.0601,231.55,201.27,343.1,2,1,0.977,0.219,0.069,0.496,0.3681,0.953111,226.55,7.36678,34.31,196.55
16,337,0,1241.2,48.4401,137.24,197.735,274.48,0,3,0.977,0.219,0.472,0.523,0.3681,0.953111,226.55,8.97878,34.31,196.55
16,228,0,1231.78,57.4001,157.5,200.32,315,0,2,1,0.023,0.409,0.269,0.375,0.546,230,6.866,35,200
16,375,0,1227.43,66.2401,430,208.08,140,12,0,1,0.081,0.054,0.529,0.375,0.662,230,6.026,35,200
16,268,0,1201.87,40.9001,202.9,198.21,345.8,1,1,0.986,0.105,0.051,0.631,0.3708,0.71441,227.9,6.20318,34.58,197.9
16,80,0,1196.12,42.0401,146.62,197.79,233.24,1,3,0.944,0.044,0.056,0.343,0.3582,0.595392,221.6,5.48122,33.32,191.6
16,183,0,1187.7,62.24,175,200.88,350,0,1,1,0.024,0.452,0.259,0.375,0.548,230,7.048,35,200
16,298,0,1175.98,41.58,198.7,195.84,337.4,1,1,0.958,0.137,0.152,0.715,0.3624,0.791262,223.7,6.81748,33.74,193.7
16,204,0,1164.5,27.6601,188.705,207.93,377.41,0,1,0.977,0.219,0.391,0.769,0.3681,0.953111,226.55,8.65478,34.31,196.55
16,195,0,1149.38,58.82,186.42,199.61,312.84,1,1,0.992,0.081,0.306,0.814,0.3726,0.663944,228.8,7.00611,34.76,198.8
16,398,0,1136.96,89.8001,480,221.875,0,16,0,0.986,0,0.196,0.235,0.3708,0.5,227.9,5.742,34.58,197.9
16,5,0,1136.43,31.32,154.395,230.54,308.79,0,2,0.977,0.275,0.151,0.46,0.3681,1.06897,226.55,8.24705,34.31,196.55
16,366,0,1135.83,11.08,192.5,210,385,0,1,1,0.078,0.403,0.393,0.375,0.656,230,7.392,35,200
16,190,0,1128.7,42.1201,182.5,204.84,245,2,2,1,0,0.159,0.538,0.375,0.5,230,5.636,35,200
16,60,0,1120.13,29.5401,272.5,206.4,245,5,1,1,0.084,0.086,0.676,0.375,0.668,230,6.184,35,200
16,373,0,1117.27,77.48,318.495,205.92,96.99,9,1,0.911,0.024,0.066,0.526,0.3483,0.554408,216.65,5.22418,32.33,186.65
16,175,0,1114.5,75.9001,369.52,233.314,139.04,10,0,0.992,0.105,0.148,0.445,0.3726,0.71252,228.8,6.61296,34.76,198.8
16,393,0,1096.16,62.3201,265.775,196.795,171.55,6,1,0.977,0.252,0.057,0.445,0.3681,1.02139,226.55,7.64422,34.31,196.55
16,128,0,1053.43,22.3001,171.55,206.31,343.1,0,1,0.977,0.321,0.448,0.496,0.3681,1.16415,226.55,9.8887,34.31,196.55
16,282,0,1035.16,46.1801,154.395,197.116,308.79,0,1,0.977,0.153,0.391,0.769,0.3681,0.816557,226.55,8.00389,34.31,196.55
16,123,0,1034.89,43.2401,157.5,210,315,0,1,1,0,0.427,0.445,0.375,0.5,230,6.708,35,200
16,350,0,1026.9,47.8,151.83,194.28,303.66,0,1,0.958,0,0.395,0.529,0.3624,0.5,223.7,6.454,33.74,193.7
16,261,0,1013.49,47.7,121.66,198.825,243.32,0,2,0.992,0.252,0.324,0.763,0.3726,1.01005,228.8,8.7799,34.76,198.8
16,136,0,1007.45,61.4,182.5,233.518,245,2,1,1,0.024,0.374,0.376,0.375,0.548,230,6.736,35,200
16,85,0,973.147,49.7,171.55,214.217,343.1,0,0,0.977,0.024,0.356,0.364,0.3681,0.549656,226.55,6.59169,34.31,196.55
16,286,0,953.431,42.44,111.58,208.05,223.16,0,2,0.896,0,0.075,0.586,0.3438,0.5,214.4,4.988,31.88,184.4
16,132,0,949.011,76.4,271.7,183.595,63.4,8,1,0.89,0,0.27,0.472,0.342,0.5,213.5,5.75,31.7,183.5
16,220,0,921.332,17.7,167.24,207.69,274.48,1,1,0.977,0.195,0.06,0.526,0.3681,0.903455,226.55,7.09409,34.31,196.55
16,174,0,903.633,54.48,218.62,203.58,137.24,5,1,0.977,0,0.155,0.742,0.3681,0.5,226.55,5.551,34.31,196.55
16,288,0,889.156,36.62,130.76,208.149,261.52,0,1,0.923,0.216,0.075,0.532,0.3519,0.981896,218.45,7.12921,32.69,188.45
16,95,0,882.056,19.1,140,205.29,280,0,1,1,0.117,0.075,0.649,0.375,0.734,230,6.47,35,200
16,365,0,881.351,44.8201,164.28,220.37,208.56,2,1,0.992,0.186,0.132,0.754,0.3726,0.876464,228.8,7.35507,34.76,198.8
16,68,0,874.954,53.7401,231.87,208.62,103.74,6,1,0.986,0.102,0.051,0.472,0.3708,0.708284,227.9,6.17343,34.58,197.9
16,387,0,866.198,18.62,195,209.76,210,3,1,1,0.024,0.057,0.808,0.375,0.548,230,5.468,35,200
16,341,0,854.931,45.4001,122.5,200.959,245,0,1,1,0.132,0.4,0.394,0.375,0.764,230,7.92,35,200
16,217,0,852.041,10.04,140,204.18,280,0,1,1,0.053,0.067,0.847,0.375,0.606,230,5.798,35,200
16,1,0,851.354,40.3401,154.395,207.24,308.79,0,0,0.977,0.024,0.391,0.859,0.3681,0.549656,226.55,6.73169,34.31,196.55
16,25,0,827.114,80.0601,330,212.504,0,11,0,0.899,0.053,0.057,0.694,0.3447,0.622059,214.85,5.42288,31.97,184.85
16,249,0,824.452,47.7,157.88,203.52,255.76,1,0,0.899,0,0.057,0.709,0.3447,0.5,214.85,4.925,31.97,184.85
16,247,0,818.032,14.8601,150.085,205.95,240.17,1,1,0.977,0.241,0.066,0.526,0.3681,0.998629,226.55,7.57174,34.31,196.55
16,194,0,791.435,46.88,192.93,222.05,205.86,3,0,0.977,0.068,0.11,0.472,0.3681,0.640692,226.55,6.04162,34.31,196.55
16,276,0,787.994,34.36,237.5,207.24,175,5,0,1,0.278,0.192,0.502,0.375,1.056,230,8.548,35,200
16,146,0,778.682,73.1401,285.175,177.407,30.35,9,0,0.845,0.105,0.11,0.472,0.3285,0.758825,206.75,5.92735,30.35,176.75
16,64,0,777.448,21.4,120.085,208.2,240.17,0,1,0.977,0.024,0.119,0.931,0.3681,0.549656,226.55,5.64369,34.31,196.55
16,371,0,776.266,18.1601,167.24,201.45,274.48,1,0,0.977,0.024,0.051,0.766,0.3681,0.549656,226.55,5.37169,34.31,196.55
16,238,0,772.597,39.2,126.45,185.812,192.9,1,1,0.905,0.117,0.207,0.595,0.3465,0.767345,215.75,6.64631,32.15,185.75
16,241,0,770.668,37.9401,192.93,208.62,205.86,3,0,0.977,0.141,0.069,0.919,0.3681,0.791729,226.55,6.59754,34.31,196.55
16,176,0,767.916,16.98,122.5,210,245,0,1,1,0.078,0.403,0.751,0.375,0.656,230,7.392,35,200
16,243,0,767.076,57.48,172.5,214.5,105,4,1,1,0.111,0.065,0.769,0.375,0.722,230,6.37,35,200
16,240,0,761.99,42.5,77.45,180.589,154.9,0,2,0.866,0.195,0.352,0.652,0.3348,0.96839,209.9,7.79922,30.98,179.9
16,7,0,757.868,69.98,330,233.241,0,11,0,1,0.099,0.29,0.616,0.375,0.698,230,7.15,35,200
16,316,0,743.581,39.8401,121.59,196.62,183.18,1,1,0.851,0,0.189,0.124,0.3303,0.5,207.65,5.309,30.53,177.65
16,55,0,729.181,39.42,165,206.31,210,2,0,1,0.081,0.053,0.652,0.375,0.662,230,6.022,35,200
16,269,0,726.3,43.7401,162.93,207.57,205.86,2,0,0.977,0.141,0.139,0.613,0.3681,0.791729,226.55,6.87754,34.31,196.55
16,307,0,724.535,48.34,330,209.31,0,11,0,1,0,0,0.466,0.375,0.5,230,5,35,200
16,44,0,721.81,38.7601,117.5,201.48,175,1,1,1,0.084,0.075,0.538,0.375,0.668,230,6.14,35,200
