generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
3,113,1,1540.07,90.06,480,25.7089,0,16,0,0.212,0.279,0.165,0.09,0.1386,1.71756,111.8,4.76689,11.36,81.8
3,362,1,1469.68,90.06,450,69.7221,0,15,0,0.327,0.325,0.079,0.173,0.1731,1.80617,129.05,5.23465,14.81,99.05
3,354,1,1464.84,90.06,450,89.6655,0,15,0,0.329,0.317,0.041,0.027,0.1737,1.77212,129.35,5.04476,14.87,99.35
3,241,1,1427.35,90.06,420,37.3428,0,14,0,0.251,0.281,0.068,0.062,0.1503,1.69341,117.65,4.57219,12.53,87.65
3,302,1,1351.64,90.06,390,79.034,0,13,0,0.263,0.288,0.03,0.066,0.1539,1.71277,119.45,4.51546,12.89,89.45
3,197,1,1342.57,90.06,390,62.324,0,13,0,0.297,0.232,0.159,0.044,0.1641,1.45329,124.55,4.86842,13.91,94.55
3,234,1,1340.13,90.06,365.065,18.5872,10.13,12,0,0.171,0.202,0.101,0.058,0.1263,1.40637,105.65,3.93225,10.13,75.65
3,115,1,1319.86,90.06,367.255,84.8398,14.51,12,0,0.317,0.254,0.095,0.091,0.1701,1.52845,127.55,4.83011,14.51,97.55
3,206,1,1297.56,90.06,360,75.2976,0,12,0,0.304,0.297,0,0,0.1662,1.71414,125.6,4.64173,14.12,95.6
3,134,1,1278.31,90.06,360,80.5644,0,12,0,0.283,0.258,0.123,0.1,0.1599,1.57096,122.45,4.81108,13.49,92.45
3,165,0,1233.85,83.9,431.075,107.762,82.15,13,0,0.381,0.467,0.094,0.234,0.1893,2.30122,137.15,6.45456,16.43,107.15
3,16,1,1230.17,90.06,330,68.4684,0,11,0,0.294,0.241,0.08,0.109,0.1632,1.49244,124.1,4.59112,13.82,94.1
3,30,1,1196.61,90.06,300,36.66,0,10,0,0,0.112,0.002,0.227,0.075,1.06,80,2.456,5,50
3,395,1,1180.75,90.06,300,50.2826,0,10,0,0.122,0.25,0.069,0.256,0.1116,1.6585,98.3,3.825,8.66,68.3
3,70,1,1173.89,90.06,300,69.1325,0,10,0,0.198,0.181,0.05,0.091,0.1344,1.29749,109.7,3.73303,10.94,79.7
3,65,0,1012.91,82.98,390,83.4293,0,13,0,0.222,0.35,0.127,0.087,0.1416,2.0169,113.3,5.0402,11.66,83.3
3,209,0,908.251,62.66,196.22,106.252,32.44,6,2,0.374,0.323,0.076,0.286,0.1872,1.75259,136.1,5.44281,16.22,106.1
3,326,0,880.111,81.08,330,96.2025,0,11,0,0.305,0.349,0.128,0.05,0.1665,1.92567,125.75,5.46167,14.15,95.75
3,296,0,846.582,60.08,147.76,94.5521,55.52,4,2,0.296,0.114,0.101,0.02,0.1638,0.968768,124.4,3.95046,13.88,94.4
3,37,0,814.247,66.08,223.13,91.1385,26.26,7,1,0.271,0.391,0.138,0.211,0.1563,2.13712,120.65,5.56477,13.13,90.65
3,85,0,777.194,71,195.23,101.6,30.46,6,1,0.341,0.118,0.134,0.138,0.1773,0.969286,131.15,4.27243,15.23,101.15
3,373,0,765.173,54.92,201.81,98.5164,43.62,6,1,0.318,0.251,0.094,0.105,0.1704,1.51555,127.7,4.81291,14.54,97.7
3,266,0,755.629,80.16,270,112.547,0,9,0,0.413,0.246,0.072,0.054,0.1989,1.42521,141.95,5.12059,17.39,111.95
3,153,0,741.46,73.76,270,96.5832,0,9,0,0.307,0.323,0.076,0.107,0.1671,1.81752,126.05,5.11197,14.21,96.05
3,166,0,726.07,70.24,270,107.951,0,9,0,0.384,0.262,0.055,0.036,0.1902,1.50818,137.6,5.02365,16.52,107.6
3,248,0,699.248,69.58,247.27,98.0571,14.54,8,0,0.318,0.299,0.146,0.12,0.1704,1.70975,127.7,5.30449,14.54,97.7
3,225,0,674.673,47.84,113.62,102.149,107.24,2,1,0.344,0.342,0.092,0.195,0.1782,1.85706,131.6,5.47389,15.32,101.6
3,5,0,670.725,70.08,240,89.9775,0,8,0,0.265,0.389,0.091,0.031,0.1545,2.13575,119.75,5.33351,12.95,89.75
3,144,0,650.416,58.5,188.075,101.169,76.15,5,0,0.341,0.324,0.15,0.19,0.1773,1.78855,131.15,5.5819,15.23,101.15
3,390,0,641.892,50.34,144.33,106.712,48.66,4,1,0.374,0.231,0.063,0.115,0.1872,1.39582,136.1,4.81636,16.22,106.1
3,367,0,631.686,74.82,210,92.0631,0,7,0,0.278,0.256,0.037,0.1,0.1584,1.5665,121.7,4.43301,13.34,91.7
3,90,0,628.056,76.32,210,118.128,0,7,0,0.453,0.192,0,0,0.2109,1.19907,147.95,4.64886,18.59,117.95
3,231,0,608.19,66.82,210,83.1403,0,7,0,0.218,0.325,0.041,0.129,0.1404,1.91245,112.7,4.5431,11.54,82.7
3,41,0,600.231,51.9,78.58,94.4867,97.16,1,1,0.296,0.015,0.146,0.135,0.1638,0.56168,124.4,3.55864,13.88,94.4
