generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
8,375,1,2327.89,90.06,310.575,121.779,321.15,5,6,0.547,0.111,0.071,0.289,0.2391,0.872849,162.05,4.7333,21.41,132.05
8,150,1,2190.39,90.06,329.6,100.378,299.2,6,3,0.42,0.111,0.055,0.269,0.201,0.91514,143,4.20372,17.6,113
8,345,1,1756.83,90.06,362.16,89.1705,184.32,9,1,0.516,0.068,0.079,0.254,0.2298,0.734736,157.4,4.34653,20.48,127.4
8,306,1,1688.24,90.06,380.675,8.93336,101.35,11,1,0.509,0.037,0.083,0.209,0.2277,0.628501,156.35,4.12,20.27,126.35
8,134,1,1663.45,90.06,345.46,98.72,150.92,9,1,0.552,0.037,0.055,0.269,0.2406,0.623728,162.8,4.14654,21.56,132.8
8,12,1,1605.83,90.06,332.44,66.6943,124.88,9,1,0.428,0.082,0.07,0.439,0.2034,0.804712,144.2,4.10258,17.84,114.2
8,247,1,1518.59,90.06,382.1,71.48,104.2,11,0,0.528,0.102,0.055,0.269,0.2334,0.848432,159.2,4.53514,20.84,129.2
8,339,1,1454.7,90.06,427.765,68.5996,15.53,14,0,0.351,0.258,0.066,0.175,0.1803,1.51833,132.65,4.89235,15.53,102.65
8,335,1,1419.12,90.06,420,46.7767,0,14,0,0.195,0.175,0.094,0.139,0.1335,1.27263,109.25,3.86575,10.85,79.25
8,219,1,1392.47,90.06,402.65,86.8055,25.3,13,0,0.255,0.246,0.214,0.433,0.1515,1.54181,118.25,4.98138,12.65,88.25
8,317,1,1374.04,90.06,315.01,23.1462,90.02,9,0,0.262,0.162,0.127,0.418,0.1536,1.18267,119.3,4.19666,12.86,89.3
8,249,1,1296.51,90.06,360,48.22,0,12,0,0.06,0.112,0.108,0,0.093,1.03984,89,3.10032,6.8,59
8,62,0,1289.56,78.58,189.48,102.259,138.96,4,3,0.348,0.026,0.055,0.457,0.1794,0.602856,132.2,3.42229,15.44,102.2
8,196,0,1285.57,61.64,213.4,148.715,246.8,3,2,0.656,0.107,0.157,0.655,0.2718,0.824424,178.4,5.44515,24.68,148.4
8,10,1,1211.3,90.06,330,88.6511,0,11,0,0.306,0.143,0.145,0.307,0.1668,1.08373,125.9,4.33255,14.18,95.9
8,187,1,1205.54,90.06,300,19.35,0,10,0,0.316,0.082,0,0.02,0.1698,0.832264,127.4,3.43147,14.48,97.4
8,283,1,1189.62,90.06,300,51.1875,0,10,0,0.255,0.114,0,0,0.1515,0.98279,118.25,3.39542,12.65,88.25
8,372,1,1187.92,90.06,300,30.7986,0,10,0,0.39,0.043,0.088,0,0.192,0.66469,138.5,3.79462,16.7,108.5
8,104,1,1184.08,90.06,300,62.2643,0,10,0,0.203,0.186,0,0.307,0.1359,1.31673,110.45,3.57955,11.09,80.45
8,94,1,1183.95,90.06,300,47.1235,0,10,0,0.081,0.166,0.057,0.1,0.0993,1.28966,92.15,3.21568,7.43,62.15
8,245,1,1175.17,90.06,300,80.0858,0,10,0,0.254,0.067,0,0.254,0.1512,0.783946,118.1,3.13211,12.62,88.1
8,225,1,1172.62,90.06,300,67.0764,0,10,0,0.307,0.068,0.067,0.254,0.1671,0.777372,126.05,3.58626,14.21,96.05
8,27,1,1161.52,90.06,300,87.1127,0,10,0,0.377,0.129,0.075,0.433,0.1881,0.999101,136.55,4.2388,16.31,106.55
8,235,1,1155.38,90.06,279.07,84.0245,18.14,9,0,0.438,0.089,0.057,0.204,0.2064,0.828054,145.7,4.13189,18.14,115.7
8,151,1,1122.46,90.06,270,47.6599,0,9,0,0,0.145,0.066,0.016,0.075,1.225,80,2.844,5,50
8,250,1,1121.06,90.06,270,54.786,0,9,0,0.087,0.132,0.05,0.075,0.1011,1.12555,93.05,3.0579,7.61,63.05
8,281,0,1110.25,67.64,176.38,148.754,172.76,3,2,0.656,0.137,0.071,0.207,0.2718,0.915384,178.4,5.33923,24.68,148.4
8,227,0,1092.92,49.4,182.835,128.692,185.67,3,2,0.521,0.443,0.084,0.415,0.2313,2.02259,158.15,7.05582,20.63,128.15
8,90,1,1091.79,90.06,248.005,79.4868,16.01,8,0,0.367,0.031,0.057,0.418,0.1851,0.620869,135.05,3.52126,16.01,105.05
8,276,1,1084.3,90.06,240,9.39319,0,8,0,0.241,0,0.046,0,0.1473,0.5,116.15,2.907,12.23,86.15
8,55,0,1077.09,80.56,226.195,134.343,152.39,5,1,0.559,0.067,0.056,0.418,0.2427,0.722641,163.85,4.39372,21.77,133.85
8,256,1,1069.46,90.06,240,51.4921,0,8,0,0.317,0,0,0.175,0.1701,0.5,127.55,2.951,14.51,97.55
8,228,0,1066.37,52.82,157.02,133.29,194.04,2,2,0.552,0.246,0.069,0.167,0.2406,1.32262,162.8,5.73075,21.56,132.8
8,350,1,1062.32,90.06,240,65.7778,0,8,0,0.234,0.111,0,0.1,0.1452,0.977078,115.1,3.30184,12.02,85.1
8,210,1,1061.98,90.06,240,52.684,0,8,0,0.141,0.024,0.051,0.307,0.1173,0.609848,101.15,2.7433,9.23,71.15
8,86,0,1053.49,75.4,301.35,129.603,62.7,9,1,0.53,0.307,0.071,0.406,0.234,1.54687,159.5,6.07826,20.9,129.5
8,9,1,979.304,90.06,210,98.0339,0,7,0,0.442,0,0.051,0.418,0.2076,0.5,146.3,3.53,18.26,116.3
8,135,0,978.493,64.98,216.8,108.502,133.6,5,1,0.39,0.211,0.124,0.242,0.192,1.30813,138.5,5.00374,16.7,108.5
8,209,0,971.192,58.56,199.64,111.455,159.28,4,1,0.316,0.222,0.069,0.241,0.1698,1.39954,127.4,4.53291,14.48,97.4
8,165,0,960.071,61.74,161.24,152.528,202.48,2,1,0.677,0.083,0.071,0.289,0.2781,0.746427,181.55,4.98415,25.31,151.55
8,103,0,848.352,60.56,143.545,144.425,167.09,2,1,0.629,0,0.23,0.254,0.2637,0.5,174.35,4.807,23.87,144.35
8,389,0,814.156,89.98,239.595,124.173,59.19,7,0,0.491,0,0.159,0.385,0.2223,0.5,153.65,4.109,19.73,123.65
8,95,0,801.179,63.82,202.755,101.094,45.51,6,1,0.339,0.137,0.071,0.204,0.1767,1.04567,130.85,4.12766,15.17,100.85
8,301,0,785.608,81.14,254.21,96.2785,28.42,8,0,0.307,0.246,0.069,0.266,0.1671,1.50343,126.05,4.63413,14.21,96.05
8,148,0,784.931,81.64,270,68.3928,0,9,0,0.122,0.288,0.054,0.352,0.1116,1.83459,98.3,3.94482,8.66,68.3
8,334,0,767.692,66.72,177.435,119.63,54.87,5,1,0.443,0.037,0.069,0.256,0.2079,0.635827,146.45,3.85135,18.29,116.45
8,96,0,767.113,55.82,214.68,147.229,129.36,5,0,0.552,0.202,0.124,0.218,0.2406,1.17549,162.8,5.62902,21.56,132.8
8,2,0,765.575,52.98,127.04,109.045,134.08,2,1,0.392,0.111,0.051,0.229,0.1926,0.924464,138.8,4.08507,16.76,108.8
8,142,0,764.539,78.82,215.2,113.073,70.4,6,0,0.42,0.11,0.071,0.187,0.201,0.9114,143,4.2612,17.6,113
8,178,0,751.54,50.16,110.08,140.344,160.16,1,1,0.596,0.243,0.057,0.082,0.2538,1.28052,169.4,5.85697,22.88,139.4
8,13,0,748.283,84.06,247.78,102.885,15.56,8,0,0.352,0.02,0.137,0.142,0.1806,0.57888,132.8,3.72624,15.56,102.8
8,215,0,725.215,78.3801,233.96,147.709,47.92,7,0,0.632,0.027,0.23,0.286,0.2646,0.583808,174.8,5.02638,23.96,144.8
8,198,0,720.372,65.48,176.77,106.765,113.54,4,0,0.374,0.165,0.078,0.286,0.1872,1.13987,136.1,4.46426,16.22,106.1
8,33,0,719.577,58.14,121.7,149.201,123.4,2,1,0.656,0.107,0.214,0.418,0.2718,0.824424,178.4,5.67315,24.68,148.4
8,53,0,719.27,51.5,82.575,117.617,165.15,0,1,0.445,0.166,0.082,0.19,0.2085,1.10839,146.75,4.77022,18.35,116.75
8,108,0,714.36,56.82,153.7,110.003,67.4,4,1,0.395,0.166,0.057,0.418,0.1935,1.13329,139.25,4.47042,16.85,109.25
8,319,0,689.92,84.48,210,51.5208,0,7,0,0.01,0.081,0,0.218,0.078,0.90257,81.5,2.35886,5.3,51.5
8,139,0,689.491,59.48,89.24,99.2044,118.48,1,1,0.327,0.026,0.055,0.269,0.1731,0.604494,129.05,3.35601,14.81,99.05
8,22,0,681.973,85.06,210,50.0402,0,7,0,0,0.145,0.084,0,0.075,1.225,80,2.916,5,50
8,162,0,681.426,55.98,156.2,107.971,132.4,3,0,0.385,0.184,0.055,0.202,0.1905,1.20748,137.75,4.53604,16.55,107.75
8,333,0,666.855,80.22,210,66.8668,0,7,0,0.11,0.292,0.004,0.052,0.108,1.86364,96.5,3.70672,8.3,66.5
8,222,0,617.21,49.98,207.39,116.487,54.78,6,0,0.442,0.339,0.135,0.385,0.2076,1.74549,146.3,6.12103,18.26,116.3
8,262,0,615.729,51.56,144.68,155.419,49.36,4,1,0.656,0,0.165,0.1,0.2718,0.5,178.4,4.628,24.68,148.4
8,157,0,615.688,50.32,138.975,98.72,37.95,4,1,0.255,0.111,0.072,0.307,0.1515,0.970085,118.25,3.66683,12.65,88.25
8,220,0,603.298,84.72,180,77.4694,0,6,0,0.182,0,0.114,0.1,0.1296,0.5,107.3,3.002,10.46,77.3
8,251,0,602.276,66.98,210,72.5594,0,7,0,0.15,0.237,0.158,0,0.12,1.57835,102.5,4.2433,9.5,72.5
8,191,0,579.729,59.56,192.02,85.5595,24.04,6,0,0.234,0.276,0.135,0.109,0.1452,1.68625,115.1,4.7335,12.02,85.1
8,78,0,556.703,64.58,166.7,108.792,33.4,5,0,0.39,0.165,0.07,0.213,0.192,1.13195,138.5,4.4961,16.7,108.5
8,141,0,549.967,55.68,104.93,100.359,29.86,3,1,0.331,0.122,0.082,0.29,0.1743,0.988854,129.65,4.05129,14.93,99.65
8,211,0,523.923,59.22,180,72.6601,0,6,0,0.15,0.423,0.079,0,0.12,2.42465,102.5,4.8387,9.5,72.5
8,40,0,522.071,56.64,108.93,106.61,97.86,2,0,0.377,0.111,0.141,0.119,0.1881,0.929459,136.55,4.39008,16.31,106.55
8,140,0,521.009,59.9,180,97.2818,0,6,0,0.234,0.138,0,0,0.1452,1.09312,115.1,3.44775,12.02,85.1
8,304,0,520.108,42.96,73.24,133.203,86.48,1,1,0.554,0.167,0.178,0.098,0.2412,1.05745,163.1,5.59711,21.62,133.1
