generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
5,159,1,1559.36,90.04,480,31.5631,0,16,0,0.01,0.434,0,0,0.078,2.65698,81.5,3.79204,5.3,51.5
5,239,1,1507.31,90.04,414.33,27.8962,48.66,13,0,0.374,0.232,0.057,0.186,0.1872,1.3997,136.1,4.79861,16.22,106.1
5,394,1,1463.21,90.04,450,64.4322,0,15,0,0.329,0.299,0.146,0.044,0.1737,1.69989,129.35,5.35723,14.87,99.35
5,324,1,1457.63,90.04,426.01,34.39,12.02,14,0,0.234,0.111,0.099,0.075,0.1452,0.977078,115.1,3.69784,12.02,85.1
5,105,1,1366.34,90.04,390,49.4919,0,13,0,0.273,0.262,0.03,0.05,0.1569,1.59542,120.95,4.41616,13.19,90.95
5,364,1,1363.98,90.04,390,28.8353,0,13,0,0.283,0.166,0.124,0.1,0.1599,1.18907,122.45,4.29087,13.49,92.45
5,256,0,1336.22,88.3,400.775,106.631,81.55,12,1,0.377,0.35,0.104,0.229,0.1881,1.85415,136.55,5.7387,16.31,106.55
5,16,0,1319.56,71.46,236.08,117.055,292.16,3,1,0.442,0.222,0.051,0.418,0.2076,1.31563,146.3,5.00674,18.26,116.3
5,10,1,1304.63,90.04,360,24.2806,0,12,0,0.102,0.251,0.136,0.119,0.1056,1.67819,95.3,4.00761,8.06,65.3
5,241,1,1290.86,90.04,360,88.011,0,12,0,0.262,0.241,0.002,0.109,0.1536,1.51557,119.3,4.13685,12.86,89.3
5,313,1,1279.98,90.04,360,100.048,0,12,0,0.381,0.265,0.038,0.05,0.1893,1.5221,137.15,4.96079,16.43,107.15
5,178,1,1263.12,90.04,330,24.0317,0,11,0,0.307,0.068,0,0,0.1671,0.777372,126.05,3.31826,14.21,96.05
5,140,1,1252.3,90.04,330,26.7716,0,11,0,0.033,0.243,0.07,0.256,0.0849,1.69094,84.95,3.39911,5.99,54.95
5,196,1,1223.4,90.04,330,94.0212,0,11,0,0.374,0.12,0.035,0.056,0.1872,0.96536,136.1,4.01128,16.22,106.1
5,279,1,1209.05,90.04,300,12.1746,0,10,0,0.00600001,0.136,0,0.104,0.0768,1.17755,80.9,2.5669,5.18,50.9
5,257,1,1204.91,90.04,330,106.149,0,11,0,0.381,0.129,0.127,0.234,0.1893,0.997553,137.15,4.46189,16.43,107.15
5,179,1,1204.33,90.04,307.405,81.7374,14.81,10,0,0.327,0.181,0.079,0.151,0.1731,1.22744,129.05,4.37612,14.81,99.05
5,15,1,1189.5,90.04,300,47.7748,0,10,0,0.255,0.114,0.013,0.00800001,0.1515,0.98279,118.25,3.44742,12.65,88.25
5,371,1,1182.55,90.04,300,38.4465,0,10,0,0.229,0.068,0.099,0,0.1437,0.793284,114.35,3.44843,11.87,84.35
5,271,1,1171.92,90.04,300,67.5325,0,10,0,0.268,0.098,0.07,0.167,0.1554,0.911208,120.2,3.63358,13.04,90.2
5,137,1,1124.26,90.04,270,58.2497,0,9,0,0.122,0.162,0.013,0.229,0.1116,1.25071,98.3,3.18458,8.66,68.3
5,221,1,1095.62,90.04,270,91.2218,0,9,0,0.294,0.107,0.103,0.044,0.1632,0.940626,124.1,3.91075,13.82,94.1
5,80,1,1054.33,90.04,222.74,82.5804,25.48,7,0,0.258,0.00699998,0.071,0.063,0.1524,0.529582,118.7,3.09684,12.74,88.7
5,0,0,1018.35,77.04,272.44,106.247,64.88,8,1,0.374,0.325,0.057,0.418,0.1872,1.76035,136.1,5.3793,16.22,106.1
5,83,0,927.104,59.04,166.48,141.32,92.96,4,2,0.608,0.294,0.051,0.177,0.2574,1.43374,171.2,6.27651,23.24,141.2
5,268,0,905.214,82.46,315.32,102.163,30.64,10,0,0.344,0.285,0.134,0.151,0.1782,1.63088,131.6,5.29624,15.32,101.6
5,217,0,878.245,58.46,235.98,68.5141,51.96,7,1,0.122,0.35,0.057,0.535,0.1116,2.1219,98.3,4.2502,8.66,68.3
5,344,0,865.029,50.22,92.44,106.42,64.88,2,3,0.374,0.175,0.079,0.418,0.1872,1.17865,136.1,4.5307,16.22,106.1
5,57,0,841.988,73.8,330,111.444,0,11,0,0.406,0.391,0.186,0.048,0.1968,1.97876,140.9,6.47848,17.18,110.9
5,338,0,827.595,79.88,300,87.6745,0,10,0,0.251,0.351,0.068,0.138,0.1503,1.9907,117.65,4.95761,12.53,87.65
5,214,0,810.215,57.46,91.7,148.944,123.4,1,2,0.656,0.039,0.183,0.256,0.2718,0.618248,178.4,5.0095,24.68,148.4
5,331,0,786.306,86.04,270,109.668,0,9,0,0.307,0.068,0,0,0.1671,0.777372,126.05,3.31826,14.21,96.05
5,97,0,772.287,47.96,154.23,132.929,128.46,3,1,0.547,0.222,0.172,0.132,0.2391,1.2457,162.05,5.9456,21.41,132.05
5,123,0,769.338,80.38,270,82.764,0,9,0,0.218,0.262,0.088,0,0.1404,1.63865,112.7,4.3967,11.54,82.7
5,330,0,748.748,40.36,150.68,101.002,121.36,3,1,0.339,0.368,0.095,0.234,0.1767,1.96574,130.85,5.61751,15.17,100.85
5,190,0,727.118,46.64,117.21,121.9,54.42,3,2,0.438,0.136,0.069,0.167,0.2064,1.0013,145.7,4.49141,18.14,115.7
5,23,0,718.97,81.46,221.3,81.6719,22.6,7,0,0.21,0.145,0.061,0.254,0.138,1.13365,111.5,3.6367,11.3,81.5
5,142,0,715.364,85.2,240,106.247,0,8,0,0.374,0.081,0.076,0.286,0.1872,0.814118,136.1,3.93176,16.22,106.1
5,218,0,632.79,67.22,216.955,95.0468,13.91,7,0,0.297,0.147,0.131,0.085,0.1641,1.10402,124.55,4.26495,13.91,94.55
5,305,0,632.741,64.8,218.11,106.247,16.22,7,0,0.374,0.325,0.057,0.286,0.1872,1.76035,136.1,5.3793,16.22,106.1
5,192,0,620.416,52.04,111.08,126.429,162.16,1,0,0.509,0.246,0.057,0.418,0.2277,1.35436,156.35,5.49028,20.27,126.35
5,225,0,611.458,45.14,168.37,95.52,96.74,4,0,0.294,0.137,0.071,0.15,0.1632,1.06417,124.1,3.95567,13.82,94.1
5,270,0,603.073,44.12,65.96,107.739,131.92,0,1,0.383,0.285,0.155,0.418,0.1899,1.59754,137.45,5.56393,16.49,107.45
5,382,0,591.321,71.38,184.615,71.5077,9.23,6,0,0.141,0.179,0.076,0.286,0.1173,1.31928,101.15,3.59443,9.23,71.15
5,8,0,584.627,46.96,136.22,106.615,32.44,4,1,0.374,0.415,0.08,0.109,0.1872,2.10937,136.1,6.03326,16.22,106.1
5,106,0,584.177,48.96,160.81,83.447,81.62,4,0,0.222,0.265,0.135,0.286,0.1416,1.64851,113.3,4.61898,11.66,83.3
5,297,0,577.79,76.88,180,85.2811,0,6,0,0.234,0.111,0.075,0.075,0.1452,0.977078,115.1,3.60184,12.02,85.1
5,326,0,573.689,47.46,76.32,102.546,92.64,1,1,0.348,0.24,0.083,0.187,0.1794,1.44944,132.2,4.83712,15.44,102.2
5,184,0,568.639,47.46,57.93,122.063,115.86,0,1,0.477,0.187,0.071,0.199,0.2181,1.1674,151.55,4.99819,19.31,121.55
5,315,0,561.704,69.14,180,68.5424,0,6,0,0.122,0.288,0.058,0.066,0.1116,1.83459,98.3,3.96082,8.66,68.3
5,365,0,545.698,52.46,132.72,96.7744,85.44,3,0,0.308,0.325,0.057,0.218,0.1674,1.8247,126.2,5.0526,14.24,96.2
5,282,0,543.919,62.72,164.81,99.2479,29.62,5,0,0.327,0.181,0.079,0.254,0.1731,1.22744,129.05,4.37612,14.81,99.05
5,126,0,536.79,58.04,170.66,128.444,41.32,5,0,0.522,0.275,0.181,0.234,0.2316,1.44435,158.3,6.2513,20.66,128.3
5,36,0,533.179,57.38,186.28,88.2323,12.56,6,0,0.252,0.373,0.21,0.09,0.1506,2.08301,117.8,5.65198,12.56,87.8
