generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
15,246,1,4679.42,90.04,812.5,13.3209,1085,9,6,1,0.219,0.391,0.769,0.375,0.938,230,8.754,35,200
15,224,1,3568.07,90.04,476.03,114.859,892.06,1,5,0.977,0.024,0.391,0.859,0.3681,0.549656,226.55,6.73169,34.31,196.55
15,25,0,3382.94,86.8001,536.03,196.854,892.06,3,6,0.977,0.18,0.427,0.445,0.3681,0.87242,226.55,8.41416,34.31,196.55
15,1,1,3027.96,90.04,548.08,197.04,556.16,9,3,0.992,0.102,0.06,0.895,0.3726,0.706448,228.8,6.2311,34.76,198.8
15,86,1,2953.59,90.04,530,84.2404,700,6,1,1,0.078,0.403,0.538,0.375,0.656,230,7.392,35,200
15,3,1,2556.47,90.04,417.805,127.79,415.61,7,3,0.899,0.053,0.057,0.808,0.3447,0.622059,214.85,5.42288,31.97,184.85
15,208,0,2455.88,43.82,360.255,205.86,720.51,0,3,0.977,0.141,0.395,0.613,0.3681,0.791729,226.55,7.90154,34.31,196.55
15,293,0,2425.9,33.4401,360.255,205.86,720.51,0,3,0.977,0.219,0.391,0.496,0.3681,0.953111,226.55,8.65478,34.31,196.55
15,134,0,2366.05,76.88,345,200.88,630,1,3,1,0.129,0.391,0.847,0.375,0.758,230,7.854,35,200
15,294,0,2268.2,84.38,431.18,202.05,382.36,8,5,0.992,0.186,0.06,0.895,0.3726,0.876464,228.8,7.06707,34.76,198.8
15,0,0,2242.49,66.64,308.79,197.619,617.58,0,3,0.977,0.084,0.403,0.538,0.3681,0.673796,226.55,7.37141,34.31,196.55
15,285,0,2198.49,73.06,297.5,201.239,595,0,3,1,0.107,0.391,0.41,0.375,0.714,230,7.634,35,200
15,158,0,2123.3,51.72,394.48,203.09,548.96,4,2,0.977,0.153,0.075,0.58,0.3681,0.816557,226.55,6.73989,34.31,196.55
15,388,0,2101.87,68.2201,308.79,197.622,617.58,0,2,0.977,0.024,0.356,0.283,0.3681,0.549656,226.55,6.59169,34.31,196.55
15,126,0,2062.3,79.0401,357.48,198.859,414.96,5,3,0.986,0.105,0.051,0.472,0.3708,0.71441,227.9,6.20318,34.58,197.9
15,55,1,2032,90.04,387.54,124.64,235.08,9,2,0.704,0.075,0.054,0.445,0.2862,0.7166,185.6,4.9448,26.12,155.6
15,205,1,1947.32,90.04,432.93,68.6816,205.86,11,1,0.977,0.081,0.071,0.529,0.3681,0.667589,226.55,6.01382,34.31,196.55
15,191,0,1937.03,72.9601,280,200.88,560,0,2,1,0.024,0.529,0.412,0.375,0.548,230,7.356,35,200
15,340,0,1934.58,37.78,257.325,219.53,514.65,0,4,0.977,0.024,0.056,0.613,0.3681,0.549656,226.55,5.39169,34.31,196.55
15,93,0,1901.42,42.56,275.85,206.78,491.7,1,3,0.926,0.102,0.099,0.67,0.3528,0.726644,218.9,6.14871,32.78,188.9
15,148,0,1888.4,84.38,380,200.189,280,8,3,1,0.081,0.054,0.673,0.375,0.662,230,6.026,35,200
15,97,0,1810.32,66.64,274.24,177.707,488.48,1,2,0.851,0.099,0.374,0.616,0.3303,0.742253,207.65,6.95049,30.53,177.65
15,117,1,1734.83,90.04,385.775,165.249,171.55,10,1,0.977,0.117,0.144,0.649,0.3681,0.742073,226.55,6.66085,34.31,196.55
15,304,0,1671.56,60.3,210,218.241,420,0,3,1,0.131,0.391,0.283,0.375,0.762,230,7.874,35,200
15,391,0,1662.9,51.2201,220.19,230.39,380.38,1,4,0.986,0,0.094,0.676,0.3708,0.5,227.9,5.334,34.58,197.9
15,53,0,1621.4,48.8,205.86,197.235,411.72,0,3,0.977,0.068,0.451,0.736,0.3681,0.640692,226.55,7.40562,34.31,196.55
15,336,0,1585.34,51.5601,223.015,196.854,446.03,0,2,0.977,0.171,0.301,0.496,0.3681,0.853799,226.55,7.8214,34.31,196.55
15,63,0,1574.84,62.22,307.5,205.86,315,5,2,1,0.053,0.067,0.676,0.375,0.606,230,5.798,35,200
15,309,0,1571.14,84.64,415.36,191.227,230.72,10,1,0.932,0.168,0.11,0.439,0.3546,0.870272,219.8,6.84746,32.96,189.8
15,342,0,1548.55,55.3,192.85,192.39,325.7,1,4,0.919,0.021,0.054,0.601,0.3507,0.547103,217.85,5.17279,32.57,187.85
15,347,0,1546.72,84.72,371.18,199.748,382.36,6,0,0.992,0.03,0.391,0.412,0.3726,0.56072,228.8,6.83856,34.76,198.8
15,181,0,1527.55,36.0201,219.31,203.4,438.62,0,2,0.958,0,0.056,0.529,0.3624,0.5,223.7,5.098,33.74,193.7
15,165,1,1519.92,90.04,375.265,47.2955,30.53,12,1,0.851,0,0.189,0.235,0.3303,0.5,207.65,5.309,30.53,177.65
15,365,0,1519.88,52.22,206.05,184.35,412.1,0,2,0.89,0.027,0.051,0.532,0.342,0.56291,213.5,5.12618,31.7,183.5
15,26,0,1499.39,45.1401,240.17,206.13,480.34,0,1,0.977,0.111,0.391,0.409,0.3681,0.729659,226.55,7.58968,34.31,196.55
15,133,0,1471.95,14.22,223.015,205.86,446.03,0,2,0.977,0.082,0.069,0.445,0.3681,0.669658,226.55,6.01568,34.31,196.55
15,193,0,1470.91,51.9,171.55,198.257,343.1,0,3,0.977,0.195,0.066,0.526,0.3681,0.903455,226.55,7.11809,34.31,196.55
15,239,0,1451.71,31.74,257.5,227.93,455,1,1,1,0.09,0.14,0.406,0.375,0.68,230,6.46,35,200
15,265,0,1447.1,46.4,235.34,188.91,350.68,2,2,0.896,0.093,0.075,0.688,0.3438,0.715016,214.4,5.85997,31.88,184.4
15,380,0,1415.47,48.4,334.395,213.71,308.79,6,1,0.977,0.084,0.086,0.131,0.3681,0.673796,226.55,6.10341,34.31,196.55
15,200,0,1412.3,74.38,286.855,178.755,213.71,6,2,0.851,0.137,0.057,0.607,0.3303,0.835239,207.65,6.02852,30.53,177.65
15,232,0,1356.67,43.4,182.1,183.406,364.2,0,2,0.845,0.06,0.078,0.967,0.3285,0.6479,206.75,5.3912,30.35,176.75
15,73,0,1351.45,52.72,319.04,206.88,278.08,6,1,0.992,0.099,0.055,0.751,0.3726,0.700376,228.8,6.18125,34.76,198.8
15,356,0,1350.52,41.5401,307.5,203.79,315,5,1,1,0.132,0.148,0.445,0.375,0.764,230,6.912,35,200
15,296,1,1332.28,90.04,319.44,170.38,98.88,9,0,0.932,0.024,0.071,0.763,0.3546,0.552896,219.8,5.31021,32.96,189.8
15,58,0,1318.96,47.98,176.825,186.744,353.65,0,2,0.905,0.162,0.391,0.868,0.3465,0.87017,215.75,7.80666,32.15,185.75
15,271,0,1312.31,33.28,201.55,204.9,343.1,1,2,0.977,0.084,0.105,0.673,0.3681,0.673796,226.55,6.17941,34.31,196.55
15,11,0,1303.65,54.48,171.55,197.204,343.1,0,2,0.977,0.057,0.391,0.448,0.3681,0.617933,226.55,7.05713,34.31,196.55
15,235,0,1292.42,38.34,204.24,212.36,408.48,0,1,0.968,0.195,0.155,0.742,0.3654,0.90872,225.2,7.43656,34.04,195.2
15,10,0,1265.78,64.22,188.705,197.029,377.41,0,1,0.977,0,0.502,0.457,0.3681,0.5,226.55,6.939,34.31,196.55
