generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
25,196,1,3199.55,90.0601,860,140,280,24,4,1,0.172,0.412,1,0.375,0.844,230,8.368,35,200
25,396,1,2992.44,90.0601,1200,35,0,40,0,1,0.285,0.039,0.994,0.375,1.07,230,8.006,35,200
25,271,1,2551.17,90.0601,705,175,210,20,2,1,0.147,0.4,0.832,0.375,0.794,230,8.07,35,200
25,37,0,2400.03,83.2201,492.5,200.12,385,10,6,1,0.159,0.4,1,0.375,0.818,230,8.19,35,200
25,161,0,2287.19,45.3201,357.5,200.562,595,2,4,1,0.591,0.403,0.7,0.375,1.682,230,12.522,35,200
25,285,0,2246.54,23.88,315,210,630,0,5,1,0.151,0.406,0.877,0.375,0.802,230,8.134,35,200
25,128,0,2189.22,81.38,390,200.117,420,6,5,1,0.009,0.496,0.757,0.375,0.518,230,7.074,35,200
25,389,1,2186.91,90.0601,537.5,127.239,175,15,2,1,0.114,0.34,0.562,0.375,0.728,230,7.5,35,200
25,325,0,2008.55,24.8601,280,210,560,0,4,1,0.195,0.361,0.877,0.375,0.89,230,8.394,35,200
25,215,0,1975.38,43.56,262.5,200.76,525,0,4,1,0.534,0.313,1,0.375,1.568,230,11.592,35,200
25,273,0,1964.43,18.82,322.5,210,525,2,3,1,0.09,0.361,1,0.375,0.68,230,7.344,35,200
25,69,1,1923.07,90.0601,690,35,0,23,0,0.865,0,0.331,0.796,0.3345,0.5,209.75,5.919,30.95,179.75
25,374,0,1891.61,36.1601,262.5,210,525,0,3,1,0,0.437,0.961,0.375,0.5,230,6.748,35,200
25,222,0,1877.6,31.32,262.5,210,525,0,3,1,0.456,0.442,0.889,0.375,1.412,230,11.328,35,200
25,46,1,1809.89,90.0601,660,175,0,22,0,1,0.12,0.28,1,0.375,0.74,230,7.32,35,200
25,68,0,1785.42,43.6601,257.5,210,455,1,3,1,0.036,0.361,0.889,0.375,0.572,230,6.804,35,200
25,298,0,1773.85,27.5401,245,210,490,0,3,1,0.054,0.364,0.877,0.375,0.608,230,6.996,35,200
25,257,0,1759.28,40.82,227.5,221.802,455,0,4,1,0.444,0.391,0.985,0.375,1.388,230,11.004,35,200
25,112,0,1746.4,18.5001,245,210,490,0,3,1,0.15,0.391,0.997,0.375,0.8,230,8.064,35,200
25,27,0,1730.86,11.88,227.5,210,455,0,5,1,0.309,0.391,0.931,0.375,1.118,230,9.654,35,200
25,203,0,1718.74,40.9801,295,210,350,4,4,1,0.135,0.361,1,0.375,0.77,230,7.794,35,200
25,66,0,1710.81,64.64,252.5,200.32,385,2,3,1,0.082,0.454,0.934,0.375,0.664,230,7.636,35,200
25,260,0,1653.82,19.14,227.5,210,455,0,3,1,0.216,0.328,0.97,0.375,0.932,230,8.472,35,200
25,131,0,1647.56,36.4801,265,210,350,3,4,1,0.243,0.322,0.994,0.375,0.986,230,8.718,35,200
25,241,0,1634.24,13.04,227.5,210,455,0,3,1,0.082,0.391,1,0.375,0.664,230,7.384,35,200
25,147,0,1623.88,27.3401,245,210,490,0,2,1,0.087,0.349,0.952,0.375,0.674,230,7.266,35,200
25,366,0,1605.96,54.48,227.5,210,455,0,2,1,0.021,0.379,0.715,0.375,0.542,230,6.726,35,200
25,243,0,1602.97,34.08,210,210,420,0,3,1,0.13,0.319,0.931,0.375,0.76,230,7.576,35,200
25,11,0,1591.36,17.5,245,210,490,0,2,1,0.534,0.472,0.817,0.375,1.568,230,12.228,35,200
25,135,0,1588.67,56.32,337.5,211.439,315,6,2,1,0.147,0.343,0.994,0.375,0.794,230,7.842,35,200
25,92,0,1549.24,16.98,210,210,420,0,3,1,0.33,0.4,0.991,0.375,1.16,230,9.9,35,200
25,233,0,1480.38,24.8601,175,210,350,0,5,1,0,0.379,0.688,0.375,0.5,230,6.516,35,200
25,100,0,1479.17,40.1601,175,200.32,350,0,4,1,0.456,0.394,0.502,0.375,1.412,230,11.136,35,200
25,229,0,1451.94,15.9001,192.5,210,385,0,3,1,0.288,0.313,0.997,0.375,1.076,230,9.132,35,200
25,205,0,1451.53,17.14,192.5,210,385,0,3,1,0.502,0.475,0.856,0.375,1.504,230,11.92,35,200
25,85,0,1426.68,26.32,210,210,420,0,2,1,0.159,0.391,0.997,0.375,0.818,230,8.154,35,200
25,91,0,1422.61,10.1001,245,210,490,0,1,1,0,0.346,0.952,0.375,0.5,230,6.384,35,200
25,392,0,1406.71,33.7401,175,210,350,0,3,1,0.276,0.373,0.976,0.375,1.052,230,9.252,35,200
25,304,0,1403.47,31.2201,157.5,210,315,0,5,1,0.09,0.364,0.976,0.375,0.68,230,7.356,35,200
25,354,0,1396.03,42.6601,235,210,350,2,2,1,0.09,0.481,0.793,0.375,0.68,230,7.824,35,200
25,145,0,1389.14,28.02,175,210,350,0,3,1,0.276,0.391,0.997,0.375,1.052,230,9.324,35,200
25,79,0,1364.02,35.6601,157.5,210,315,0,4,1,0.09,0.412,0.883,0.375,0.68,230,7.548,35,200
25,289,0,1342.83,12.5801,175,210,350,0,3,1,0.12,0.461,0.793,0.375,0.74,230,8.044,35,200
