generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
9,301,1,2112.86,90.06,448.08,91.1629,296.16,10,1,0.656,0.107,0.157,0.676,0.2718,0.824424,178.4,5.44515,24.68,148.4
9,111,1,1964.64,90.06,367.965,43.6223,195.93,9,2,0.559,0.053,0.056,0.496,0.2427,0.676119,163.85,4.29076,21.77,133.85
9,205,1,1895.85,90.06,341.65,101.732,203.3,8,2,0.511,0.107,0.056,0.418,0.2283,0.870969,156.65,4.51306,20.33,126.65
9,79,1,1844.2,90.06,388.76,92.9876,117.52,11,2,0.323,0.186,0.057,0.272,0.1719,1.24977,128.45,4.30147,14.69,98.45
9,86,1,1783.95,90.06,451.52,93.8478,183.04,12,0,0.596,0.243,0.057,0.655,0.2538,1.28052,169.4,5.85697,22.88,139.4
9,19,1,1781.8,90.06,381.08,36.28,162.16,10,1,0.509,0.107,0.083,0.204,0.2277,0.871611,156.35,4.61378,20.27,126.35
9,305,1,1716.27,90.06,436.65,63.1887,153.3,12,0,0.685,0.145,0.066,0.289,0.2805,0.927025,182.75,5.49495,25.55,152.75
9,77,0,1690.55,86.6199,317.8,133.104,215.6,7,3,0.552,0.168,0.069,0.167,0.2406,1.06179,162.8,5.16042,21.56,132.8
9,394,0,1594.99,76.56,341.7,132.935,323.4,6,1,0.552,0.229,0.051,0.269,0.2406,1.26578,162.8,5.53445,21.56,132.8
9,238,1,1589.5,90.06,331.6,94.1681,123.2,9,1,0.42,0.107,0.055,0.269,0.201,0.90018,143,4.17764,17.6,113
9,216,1,1546.67,90.06,372.56,112.543,145.12,10,0,0.438,0.152,0.084,0.129,0.2064,1.06027,145.7,4.65746,18.14,115.7
9,326,0,1541.5,68.22,208.08,148.89,296.16,2,3,0.656,0.137,0.071,0.207,0.2718,0.915384,178.4,5.33923,24.68,148.4
9,228,0,1468.33,76.72,266.24,132.875,172.48,6,3,0.552,0.107,0.157,0.269,0.2406,0.857808,162.8,5.06638,21.56,132.8
9,179,0,1412.26,82.14,277.965,134.268,195.93,6,2,0.559,0.068,0.056,0.254,0.2427,0.725964,163.85,4.40107,21.77,133.85
9,234,1,1396.71,90.06,361.35,82.6644,62.7,11,0,0.53,0.111,0.071,0.406,0.234,0.87851,159.5,4.67098,20.9,129.5
9,176,1,1368.3,90.06,370.135,22.88,20.27,12,0,0.509,0.043,0.083,0.209,0.2277,0.649339,156.35,4.16232,20.27,126.35
9,312,1,1367.41,90.06,375.53,88.602,31.06,12,0,0.351,0.175,0.066,0.139,0.1803,1.19073,132.65,4.38555,15.53,102.65
9,6,0,1347.94,55.14,164.65,160.319,269.3,1,3,0.731,0.246,0.187,0.484,0.2943,1.19052,189.65,7.00396,26.93,159.65
9,38,1,1332,90.06,330.65,81.9468,61.3,10,0,0.242,0.172,0.08,0.523,0.1476,1.23513,116.3,3.98374,12.26,86.3
9,252,1,1292.98,90.06,360,41.7784,0,12,0,0.189,0.2,0.158,0.098,0.1317,1.3866,108.35,4.2258,10.67,78.35
9,368,1,1288.97,90.06,305.805,107.687,71.61,9,0,0.629,0,0.069,0.254,0.2637,0.5,174.35,4.163,23.87,144.35
9,213,1,1270.63,90.06,254.51,89.5934,29.02,8,1,0.317,0,0.071,0.175,0.1701,0.5,127.55,3.235,14.51,97.55
9,339,1,1265.48,90.06,263.9,117.763,107.8,7,0,0.552,0.037,0.054,0.269,0.2406,0.623728,162.8,4.14254,21.56,132.8
9,199,1,1258.65,90.06,336.325,80.2622,12.65,11,0,0.255,0.114,0.083,0.227,0.1515,0.98279,118.25,3.72742,12.65,88.25
9,283,1,1255.22,90.06,330,39.97,0,11,0,0.255,0.111,0,0.433,0.1515,0.970085,118.25,3.37883,12.65,88.25
9,23,0,1254.38,74.5599,264.4,140.243,228.8,5,1,0.596,0.175,0.14,0.385,0.2538,1.0621,169.4,5.6738,22.88,139.4
9,274,1,1233.95,90.06,330,55.7716,0,11,0,0.254,0.067,0.099,0.254,0.1512,0.783946,118.1,3.52811,12.62,88.1
9,302,1,1225.58,90.06,330,91.6864,0,11,0,0.39,0.211,0.028,0.242,0.192,1.30813,138.5,4.61974,16.7,108.5
9,221,0,1208.25,67.72,289.36,148.921,98.72,8,2,0.656,0.232,0.057,0.207,0.2718,1.20342,178.4,6.03715,24.68,148.4
9,291,0,1183,77.14,290.25,159.007,160.5,7,1,0.725,0.107,0.163,0.655,0.2925,0.802275,188.75,5.72045,26.75,158.75
9,139,1,1182.55,90.06,300,49.9208,0,10,0,0.102,0.079,0.057,0.067,0.1056,0.870826,95.3,2.89835,8.06,65.3
9,144,1,1163.59,90.06,300,61.6403,0,10,0,0.122,0.129,0.154,0.167,0.1116,1.09779,98.3,3.59243,8.66,68.3
9,371,1,1137.51,90.06,270,34.3173,0,9,0,0.11,0.031,0.004,0.418,0.108,0.64477,96.5,2.49046,8.3,66.5
