generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
13,141,1,3317.69,90.06,551.985,181.74,683.97,7,4,0.919,0,0.056,0.529,0.3507,0.5,217.85,4.981,32.57,187.85
13,109,1,3275.4,90.06,535.945,86.91,651.89,7,4,0.977,0,0.067,0.676,0.3681,0.5,226.55,5.199,34.31,196.55
13,250,0,2655.14,85.3201,471.635,196.778,583.27,6,4,0.977,0.111,0.071,0.445,0.3681,0.729659,226.55,6.30968,34.31,196.55
13,0,1,2465.52,90.06,377.76,55.84,395.52,6,3,0.932,0.024,0.144,0.532,0.3546,0.552896,219.8,5.60221,32.96,189.8
13,289,1,2438.21,90.06,359.4,139.3,418.8,5,3,0.764,0.053,0.067,0.676,0.3042,0.643524,194.6,5.01495,27.92,164.6
13,131,0,2242.72,74.64,295.46,199.54,590.92,0,4,0.992,0.021,0.391,0.763,0.3726,0.542504,228.8,6.74899,34.76,198.8
13,395,0,2218.7,50.1601,348.64,202.97,517.28,3,5,0.911,0.081,0.105,0.673,0.3483,0.683627,216.65,5.91975,32.33,186.65
13,309,0,2159.23,80.64,337.2,190.388,494.4,3,3,0.932,0.053,0.144,0.496,0.3546,0.616812,219.8,5.88038,32.96,189.8
13,126,1,2145.65,90.06,367.08,91.59,314.16,7,2,0.706,0,0.057,0.736,0.2868,0.5,185.9,4.346,26.18,155.9
13,62,0,2133.67,88.0601,441.55,197.383,343.1,9,3,0.977,0.191,0.071,0.673,0.3681,0.895179,226.55,7.09864,34.31,196.55
13,377,1,2040.23,90.06,371.84,120.217,263.68,8,2,0.932,0.024,0.148,0.146,0.3546,0.552896,219.8,5.61821,32.96,189.8
13,358,0,2002.3,70.1601,283.015,197.382,446.03,2,5,0.977,0.129,0.391,0.445,0.3681,0.766901,226.55,7.7672,34.31,196.55
13,245,0,1995.39,43.82,338.63,197.76,557.26,2,2,0.926,0.141,0.176,0.613,0.3528,0.813302,218.9,6.8294,32.78,188.9
13,180,1,1987.04,90.06,466.855,123.122,213.71,12,1,0.851,0.147,0.18,0.385,0.3303,0.859709,207.65,6.61158,30.53,177.65
13,85,0,1970.83,70.3201,366.725,209.57,373.45,6,3,0.965,0.15,0.071,0.2,0.3645,0.81575,224.75,6.6475,33.95,194.75
13,347,1,1946.66,90.06,382.34,139.6,284.68,8,1,0.696,0.026,0.086,0.796,0.2838,0.575712,184.4,4.64458,25.88,154.4
13,48,1,1924.47,90.06,433.04,114.92,206.08,11,1,0.692,0.149,0.074,0.685,0.2826,0.935676,183.8,5.58665,25.76,153.8
13,194,0,1880.79,74.0601,253.36,164.694,446.72,1,3,0.764,0.053,0.311,0.394,0.3042,0.643524,194.6,5.99095,27.92,164.6
13,230,1,1878.26,90.06,406.855,130.66,213.71,10,1,0.851,0,0.069,0.235,0.3303,0.5,207.65,4.829,30.53,177.65
13,274,1,1861.42,90.06,326.46,0,172.92,8,2,0.794,0.000999972,0.069,0.175,0.3132,0.502618,199.1,4.66676,28.82,169.1
13,225,0,1803.79,42.34,378.445,184.46,396.89,6,2,0.851,0.307,0.057,0.601,0.3303,1.25123,207.65,7.57654,30.53,177.65
13,386,0,1712.5,65.24,240.17,197.03,480.34,0,2,0.977,0.129,0.391,0.502,0.3681,0.766901,226.55,7.7672,34.31,196.55
13,5,1,1692.9,90.06,363.875,24.83,127.75,10,1,0.685,0.039,0.083,0.418,0.2805,0.614855,182.75,4.70329,25.55,152.75
13,205,0,1661.33,66.4001,272.65,178.777,305.3,4,3,0.851,0.278,0.113,0.613,0.3303,1.18027,207.65,7.53647,30.53,177.65
13,144,0,1650.27,36.9,243.18,196.79,366.36,2,4,0.851,0.024,0.144,0.532,0.3303,0.558728,207.65,5.34754,30.53,177.65
13,271,0,1637.51,80.82,313.88,156.187,207.76,7,3,0.699,0.12,0.071,0.413,0.2847,0.84836,184.85,5.36428,25.97,154.85
13,249,0,1620.03,37.62,280.835,195.02,501.67,1,1,0.817,0.097,0.066,0.526,0.3201,0.747253,202.55,5.57849,29.51,172.55
13,314,0,1606.96,61.4001,223.015,197.03,446.03,0,2,0.977,0.129,0.391,0.457,0.3681,0.766901,226.55,7.7672,34.31,196.55
13,217,1,1585.7,90.06,376.325,51.04,152.65,10,0,0.851,0,0.176,0.167,0.3303,0.5,207.65,5.257,30.53,177.65
13,32,0,1552.62,37.2601,221.9,186.42,443.8,0,2,0.89,0.167,0.09,0.613,0.342,0.88911,213.5,6.58978,31.7,183.5
13,291,0,1516.95,41.5,202.92,170.13,345.84,1,3,0.794,0.053,0.069,0.787,0.3132,0.638754,199.1,5.12249,28.82,169.1
13,321,0,1502.69,47.74,302.65,188.76,305.3,5,2,0.851,0.198,0.134,0.427,0.3303,0.984506,207.65,6.89199,30.53,177.65
13,324,0,1501.58,52.58,193.955,175.313,327.91,1,3,0.827,0.18,0.083,0.418,0.3231,0.95342,204.05,6.42616,29.81,174.05
13,164,0,1492.8,72.64,264.85,169.854,289.7,4,2,0.799,0.157,0.121,0.499,0.3147,0.908671,199.85,6.26166,28.97,169.85
13,231,1,1450.49,90.06,371.205,80.28,82.41,11,0,0.749,0.015,0.083,0.266,0.2997,0.541295,192.35,4.70641,27.47,162.35
13,206,0,1404.44,56.66,188.705,197.029,377.41,0,2,0.977,0.073,0.391,0.364,0.3681,0.651037,226.55,7.21493,34.31,196.55
13,360,1,1401.57,90.06,420,77.5633,0,14,0,0.851,0.12,0.11,0.613,0.3303,0.79364,207.65,6.08572,30.53,177.65
13,77,0,1398.02,68.98,221.395,170.567,202.79,4,3,0.799,0.087,0.056,0.49,0.3147,0.726461,199.85,5.38608,28.97,169.85
13,36,0,1384.27,48.32,306.7,185.42,313.4,5,1,0.878,0.177,0.055,0.622,0.3384,0.918782,211.7,6.49444,31.34,181.7
13,361,0,1374.84,56.0001,251.5,157.233,263,4,2,0.71,0.327,0.069,0.628,0.288,1.43849,186.5,7.10702,26.3,156.5
13,86,0,1366.3,44.24,156.7,184.05,313.4,0,3,0.878,0.239,0.126,0.52,0.3384,1.06547,211.7,7.35305,31.34,181.7
13,167,1,1330.9,90.06,390,95.12,0,13,0,0.348,0,0.124,0.283,0.1794,0.5,132.2,3.54,15.44,102.2
13,63,0,1324.88,66.9801,247.5,201.351,315,3,1,1,0.111,0.051,0.2,0.375,0.722,230,6.314,35,200
13,252,0,1306.09,53.0801,196.35,156.971,392.7,0,1,0.706,0.129,0.391,0.388,0.2868,0.871778,185.9,6.74444,26.18,155.9
