generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
21,81,1,4762.37,90.0401,677.5,140,1295,1,7,1,0.075,0.4,0.877,0.375,0.65,230,7.35,35,200
21,18,0,4042.61,72.2201,642.5,210,1225,1,4,1,0,0.313,0.994,0.375,0.5,230,6.252,35,200
21,221,0,3815.24,85.46,717.5,210,1015,7,3,1,0.111,0.313,0.823,0.375,0.722,230,7.362,35,200
21,306,1,3539.19,90.0401,607.5,35,735,8,4,1,0.021,0.442,0.841,0.375,0.542,230,6.978,35,200
21,292,1,3354.11,90.0401,530,191.839,700,6,6,1,0.086,0.371,0.91,0.375,0.672,230,7.344,35,200
21,209,0,3353.5,86.3801,485,201.119,910,1,7,1,0,0.469,1,0.375,0.5,230,6.876,35,200
21,134,1,3311.52,90.0401,470,154.32,700,4,7,1,0.00899999,0.307,0.949,0.375,0.518,230,6.318,35,200
21,389,0,3226.42,77.38,515,200.562,910,2,4,1,0.168,0.574,0.457,0.375,0.836,230,8.976,35,200
21,11,0,3215.15,64.7201,455,200.56,910,0,7,1,0.129,0.655,0.52,0.375,0.758,230,8.91,35,200
21,160,1,3087.53,90.0401,495,150,630,6,4,1,0,0.334,0.892,0.375,0.5,230,6.336,35,200
21,299,0,3031.16,61.24,455,210,910,0,3,1,0.229,0.334,0.631,0.375,0.958,230,8.626,35,200
21,82,0,3022.34,57.2201,437.5,210,875,0,5,1,0,0.34,0.892,0.375,0.5,230,6.36,35,200
21,241,0,2987.85,65.0401,472.5,200.2,945,0,2,1,0.219,0.394,1,0.375,0.938,230,8.766,35,200
21,105,0,2916.45,69.1401,420,200.562,840,0,4,1,0.237,0.34,0.562,0.375,0.974,230,8.73,35,200
21,30,1,2891.08,90.0401,472.5,70,525,7,4,1,0,0.391,0.892,0.375,0.5,230,6.564,35,200
21,156,0,2864.23,52.0001,402.5,210,805,0,6,1,0.09,0.34,0.769,0.375,0.68,230,7.26,35,200
21,86,0,2830.83,44.04,420,214.96,840,0,4,1,0.477,0.391,0.994,0.375,1.454,230,11.334,35,200
21,176,0,2690.52,70.0401,427.5,200.765,735,2,3,1,0.081,0.433,0.718,0.375,0.662,230,7.542,35,200
21,399,0,2685.4,46.1801,402.5,210,805,0,3,1,0.132,0.505,0.982,0.375,0.764,230,8.34,35,200
21,101,0,2646.24,48.78,420,210,840,0,2,1,0.286,0.403,1,0.375,1.072,230,9.472,35,200
21,311,0,2615.69,52.58,385,210,770,0,3,1,0.241,0.391,0.598,0.375,0.982,230,8.974,35,200
21,252,0,2604.77,55.8801,385,220.403,770,0,3,1,0.372,0.574,0.784,0.375,1.244,230,11.016,35,200
21,0,0,2591.87,84.3,380,200.24,700,1,3,1,0.06,0.301,0.883,0.375,0.62,230,6.804,35,200
21,37,0,2467.7,50.18,350,210,700,0,4,1,0,0.371,0.877,0.375,0.5,230,6.484,35,200
21,281,0,2449.41,59.88,362.5,201.199,665,1,4,1,0.152,0.538,0.769,0.375,0.804,230,8.672,35,200
21,29,0,2439.7,54.7601,332.5,210,665,0,5,1,0.135,0.313,0.934,0.375,0.77,230,7.602,35,200
21,175,0,2346.15,73.46,315,200.76,630,0,4,1,0,0.391,0.781,0.375,0.5,230,6.564,35,200
21,17,0,2331.59,57.46,332.5,210,665,0,3,1,0,0.502,0.769,0.375,0.5,230,7.008,35,200
