generation,blobIndex,survived,fitness,timeAlive,energyGained,healthLost,damageDealt,foodEaten,killCount,gSize,gSpeed,gPredation,gAggression,worldScale,moveForce,maxEnergy,energyCost,attackDamage,maxHealth
12,154,1,3307.59,90.04,523.12,60.52,626.24,7,6,0.932,0.024,0.144,0.532,0.3546,0.552896,219.8,5.60221,32.96,189.8
12,204,1,2833.24,90.04,439.505,176.22,519.01,6,5,0.851,0,0.23,0.283,0.3303,0.5,207.65,5.473,30.53,177.65
12,137,0,2817.39,84.54,425.83,178.675,671.66,3,6,0.851,0.167,0.128,0.613,0.3303,0.908649,207.65,6.5857,30.53,177.65
12,371,1,2697.82,90.04,463.015,128.635,446.03,8,3,0.977,0.111,0.071,0.2,0.3681,0.729659,226.55,6.30968,34.31,196.55
12,144,1,2578.95,90.04,432.8,143.472,505.6,6,2,0.676,0.12,0.11,0.676,0.2778,0.85664,181.4,5.43472,25.28,151.4
12,382,1,2433.97,90.04,518.04,30.53,376.08,11,1,0.878,0.068,0.075,0.52,0.3384,0.660888,211.7,5.56422,31.34,181.7
12,188,0,2224.08,79.06,429.85,157.237,499.7,6,2,0.71,0.327,0.069,0.385,0.288,1.43849,186.5,7.10702,26.3,156.5
12,0,1,2198.85,90.04,370.365,111.46,260.73,8,3,0.799,0.087,0.056,0.49,0.3147,0.726461,199.85,5.38608,28.97,169.85
12,90,0,2012.83,51.72,326.7,177.74,473.4,3,3,0.71,0.024,0.144,0.394,0.288,0.56888,186.5,4.90424,26.3,156.5
12,113,0,1986.88,72.56,351.635,197.03,583.27,2,1,0.977,0.129,0.391,0.502,0.3681,0.766901,226.55,7.7672,34.31,196.55
12,246,1,1932.53,90.04,436.225,103.454,212.45,11,1,0.845,0.149,0.186,0.266,0.3285,0.867285,206.75,6.63043,30.35,176.75
12,298,0,1890.12,68.14,229.67,160.344,459.34,0,4,0.734,0.041,0.307,0.269,0.2952,0.614718,190.1,5.77456,27.02,160.1
12,89,0,1835.34,79.38,263.625,141.271,347.25,3,4,0.605,0.068,0.057,0.763,0.2565,0.71658,170.75,4.56184,23.15,140.75
12,87,0,1783.37,33.92,277.275,195.02,434.55,2,3,0.799,0.275,0.056,0.49,0.3147,1.21583,199.85,7.03935,28.97,169.85
12,335,0,1781.04,75.8801,485.83,168.18,191.66,13,2,0.746,0.087,0.066,0.19,0.2988,0.740294,191.9,5.23941,27.38,161.9
12,200,1,1724.67,90.04,395.31,104.219,130.62,11,1,0.559,0.107,0.056,0.209,0.2427,0.855561,163.85,4.68788,21.77,133.85
12,1,1,1655.58,90.04,361.06,56.2,122.12,10,1,0.851,0,0.128,0.235,0.3303,0.5,207.65,5.065,30.53,177.65
12,248,1,1653.94,90.04,361.4,75.6579,122.8,10,1,0.652,0.073,0.082,0.418,0.2706,0.722212,177.8,4.86158,24.56,147.8
12,13,0,1646.79,86.96,366.72,160.545,313.44,7,1,0.704,0.015,0.071,0.4,0.2862,0.54332,185.6,4.51936,26.12,155.6
12,91,0,1643.54,29.6,228.445,201.26,396.89,1,4,0.851,0.209,0.245,0.259,0.3303,1.01142,207.65,7.43615,30.53,177.65
12,308,0,1638.52,52.8,330.4,166.37,420.8,4,1,0.71,0.111,0.13,0.346,0.288,0.81857,186.5,5.56686,26.3,156.5
12,3,0,1598.47,86.3,387.325,149.873,174.65,10,2,0.665,0.175,0.069,0.385,0.2745,1.02587,179.75,5.66925,24.95,149.75
12,349,0,1581.35,60.48,260.525,174.47,281.05,4,3,0.685,0.065,0.066,0.613,0.2805,0.691425,182.75,4.84615,25.55,152.75
12,83,0,1548.57,20.3201,231.76,189.47,463.52,0,2,0.799,0.087,0.082,0.418,0.3147,0.726461,199.85,5.49008,28.97,169.85
12,235,0,1540.54,63.64,333.4,148.629,246.8,7,2,0.656,0.375,0.069,0.676,0.2718,1.637,178.4,7.22,24.68,148.4
